#漢字	音標	解釋
係	hei45	系：是[白]
杯	pei22	杯：茶～
輩	pei45	辈：～分，长～
背	pɔi45	背：违～，后～
配	pʰei45	配：分～，搭～
培	pʰei41	培：～训
陪	pʰei41	陪：～同
賠	pʰɔi41	赔：～钱
倍	pʰei31	倍：～数
佩	pʰei45	佩：～服
背	pʰɔi31	背：～书
梅	mɔi41	梅：～花
枚	mei41	枚：两～
媒	mɔi41	媒：～人
煤	mɔi41	煤：烧～，～矿
玫	mɔi41	玫：～瑰
每	mei22	每：～只，～日
莓	mɔi41	莓：草～
妹	mɔi45	妹：妹妹，姊～，老～
堆	tei22	堆：一～[量]，～放[动]
對	tei45	对：～错；成双成～
碓	tɔi45	碓：舂米工具，踏～
推	tʰei22	推：～荐，～动
腿	tʰei31	腿：～部，火～
退	tʰei45	退：后～，～步[文]
退	tʰei45	退：向后退[白]
隊	tei45	队：～伍，排～
內	nei31	内：～行，～外
雷	lei41	雷：打～，～公；姓
累	lei45	累：劳～
催	tsʰei22	催：～促，～眠
崔	tsʰei22	崔：姓，～莺莺
摧	tsʰei22	摧：～残
罪	tsʰei31	罪：得～，犯～[文]
罪	tsʰei31	罪：～过（可怜、难受）[白]
碎	sei45	碎：～布，破～
盔	fɔi22	盔：头～，～甲
魁	kʰuei41	魁：～梧，花～
恢	fɔi22	恢：～复
塊	kʰuai45	块：一～钱，～头
桅	ŋei41	桅：～杆
灰	fɔi22	灰：石～，～色
賄	fei31	贿：受～，～赂
悔	fei45	悔：后～
晦	fei45	晦：～气
回	fei41	回：～想[文]；～礼[白]
匯	fei31	汇：～报，～款
潰	kʰuei31	溃：～疡，胃～疡
煨	vɔi22	煨：～番薯
蛻	tʰei45	蜕：～变，～皮，～壳
兌	tei45	兑：～水，～换
最	tsei45	最：～好
會	fei31	会：～计
劊	kʰuei41	刽：～子手
外	ŋɔi31	外：～面
會	fei31	会：开～
會	fei31	会：～睡，～来
乖	kuai22	乖：小孩听话
怪	kuai45	怪：奇～
懷	fai41	怀：～疑
壞	fai31	坏：～人
拐	kuai31	拐：～卖，铁～李
掛	kua45	挂：～起来，牵～，～钩
卦	kua45	卦：八～
歪	ʋai22	歪：～风邪气
畫	fa31	画：～图，图～
快	kʰuai45	快：～车
筷	kʰuai45	筷：公～
話	va31	话：笑～，讲～[文，名]
話	va31	话：讲～[白，名]
話	va31	话：说[白，动]
脆	tsʰei45	脆：干～[文]
脆	tsʰei45	脆：易断[白]
歲	sei45	岁：万～，～月[文]
歲	sei45	岁：十～，～数[白]
稅	ʃɔi45	税：交～，～收
衛	vei31	卫：～生
銳	iei45	锐：尖～，～角
廢	fei45	废：～品，作～
肺	fei45	肺：猪～
吠	pʰɔi31	吠：狗～
閨	kuei22	闺：～房
桂	kuei45	桂：～花
惠	fei31	惠：～州，优～
碑	pi22	碑：石～，～文
卑	pi22	卑：自～，～鄙
彼	pi31	彼：～此
臂	pi31	臂：手～，～力
披	pʰi22	披：～肩，～露
皮	pʰi41	皮：调～，～肤
疲	pʰi41	疲：～劳
脾	pʰi41	脾：～胃，～气
被	pʰi22	被：被子，毛巾～
被	pʰi22	被：～动，～迫
避	pʰit031	避：逃～
彌	ȵi22	弥：～补，阿～陀佛
離	li41	离：～別，～开
荔	li31	荔：～枝
紫	ʦɿ31	紫：～色
雌	tsʰɿ41	雌：～雄
此	tsɿ31	此：到～为止
刺	tsʰɿ45	刺：～激，穿～
斯	sɿ22	斯：～大林
撕	si22	撕：～烂
賜	tsʰɿ45	赐：赏～
知	tsɿ22	知：通～，～道，无～[文]
知	tsɿ45	知：～识[文]
知	ti22	知：知道，唔～[白]
蜘	tsɿ22	蜘：～蛛
智	tsɿ45	智：～慧
池	tsʰɿ41	池：水～
馳	tsʰɿ41	驰：奔～
支	tsɿ22	支：两～笔[白，量]
支	tsɿ22	支：～持，天干地～[文]
肢	tsɿ22	肢：四～，～体
梔	tɕi22	栀：黄～（水横枝、黄果）
紙	tsɿ31	纸：白～
只	tɕit031	只：～有
舐	sei22	舐：舔
施	sɿ22	施：措～；姓
翅	tsʰɿ45	翅：鱼～
匙	sɿ41	匙：锁～，汤～
是	sɿ31	是：～否，～非
氏	tsɿ31	氏：姓～
豉	sɿ31	豉：豆～
兒	lu41	儿：～童
爾	ȵi22	尔：～虞我诈；保～（人名）
寄	tɕi45	寄：～信，～托
企	tɕʰi22	企：～业，～鹅
奇	tɕʰi41	奇：～怪
騎	tɕʰi41	骑：～马
岐	tɕʰi41	岐：～山
徛	tɕʰi22	徛：站立；（山）斜度高
技	tɕʰi22	技：～术[文]
技	tɕʰi22	技：杂～[白]
脂	ʦɿ31	脂：～肪，胭～
旨	tsɿ31	旨：圣～
指	tsɿ31	指：手～，～甲
至	tsɿ45	至：～少
示	sɿ45	示：表～
屍	sɿ22	尸：～体，死～
屎	sɿ31	屎：狗～
視	sɿ45	视：近～
二	ȵi31	二：数字
貳	ȵi31	贰：～心
飢	ʨi22	饥：～饿
肌	tɕi22	肌：～肉
几	tɕi22	几：茶～
器	tɕʰi45	器：武～，机～，～重
棄	tɕʰi45	弃：放～，抛～
伊	i22	伊：～犁；姓
姨	i41	姨：大～，～丈
你	ȵi31	你：～们，第二人称[文]
你	n̩41	你：第二人称[白]
釐	li41	厘：～米
狸	li41	狸：狐～
李	li31	李：姓；水果
里	li22	里：公～
裏	ti22	里：～外，～背（里面）
理	li22	理：道～，～由
鯉	li22	鲤：～鱼
吏	li31	吏：官～
滋	tsɿ22	滋：～味
子	tsɿ31	子：～孙；孔～
梓	tsɿ31	梓：桑～；曾宪～
慈	tsʰɿ41	慈：～悲，～禧太后
磁	tsʰɿ41	磁：～铁，～场
字	sɿ31	字：～典，文～
司	sɿ22	司：公～，～令
絲	sɿ22	丝：～绸
思	sɿ22	思：～想
辭	tsʰɿ41	辞：～职，告～
詞	tsʰɿ41	词：歌～
祠	tsʰɿ41	祠：～堂
嘴	ʦei31	嘴：嘴巴[文]
嘴	tʃɔi45	嘴：嘴巴[白，训]
髓	ʃei41	髓：骨～
隨	ʃei41	随：～时，～便
吹	tʃʰui22	吹：～牛皮，～喇叭
驕	ʧau22	骄：～傲
嬌	tʃau22	娇：～气，做～（撒娇）
矯	tʃau31	矫：～正
喬	tʃʰau41	乔：姓
僑	tʃʰau41	侨：华～
橋	tʃʰau41	桥：大～
蕎	ʧʰau41	荞：～麦
轎	tʃʰau31	轿：坐～，扛～
翹	tʃʰau41	翘：银～片
翹	tʃʰau45	翘：～起来
澆	ʧau22	浇：～水
繳	tʃau31	缴：～枪，～费
竅	ʧʰau22	窍：～门
曉	ʃau31	晓：春～，～得
宜	ȵi41	宜：适～，～昌
儀	ȵi41	仪：礼～，～式
蟻	ŋei45	蚁：蚂蚁，白～
誼	ȵi41	谊：友～
義	ȵi31	义：情～，～气
議	ȵi45	议：～论，会～
犧	ɕi22	牺：～牲
戲	tɕʰi45	戏：做～
倚	i31	倚：～靠，～老卖老
椅	i31	椅：椅子，藤～
移	i41	移：～动
易	i31	易：容～
悲	pei22	悲：～伤
鄙	pi31	鄙：卑～，～视[文]
鄙	pei31	鄙：差劲[白]
比	pi31	比：～较，对～
祕	pi45	秘：～书，～密
泌	pit031	泌：分～；滤出汤汁
庇	pi31	庇：包～，～护
痹	pi45	痹：麻～
屁	pʰi45	屁：放～
枇	pʰi41	枇：～杷
備	pʰi31	备：准～，～用
鼻	pʰi31	鼻：鼻子；鼻涕
眉	mi41	眉：眉毛，画～
黴	mɔi41	霉：发～，倒～
美	mei31	美：～丽，～化
媚	mi41	媚：～眼，妩～；人名用字
地	tʰi31	地：土～
尼	nei41	尼：～姑
梨	li41	梨
履	li22	履：～行，～历
利	li31	利：～润，有～
痢	li31	痢：～疾
痢	li41	痢：癞～（头屑）
資	tsɿ22	资：～本
姿	tsɿ22	姿：～势
咨	tsɿ22	咨：～询
姊	tsi31	姊：～妹
次	tsʰɿ45	次：名～，～品
瓷	tsʰɿ41	瓷：～砖，陶～
餈	tsʰi41	糍：糍粑，糯米～
自	tsʰɿ31	自：～私
私	sɿ22	私：自～
死	si31	死：～人
四	si45	四：数字
肆	sɿ45	肆：放～
致	tsɿ45	致：导～
遲	tsʰɿ41	迟：～到，推～
稚	tsɿ45	稚：幼～
師	sɿ22	师：老～，～父
獅	sɿ22	狮：狮子
