#漢字	音標	解釋
訓	hun31	训：教～，～人
薰	hun44	薰：～衣草
葷	hun44	荤：～素
勳	hun44	勋：～章
熏	sun44	熏：烟～人,～蚊[白]
熏	sun44	熏：～陶，烟～人[文]
倔	k'ut5	倔：～强
郡	kun44	郡：～主
掘	k'ut5	掘：挖～
裙	k'un51	裙：裙子
羣	k'un51	群：～众
屈	ʔut5	屈：委屈，～气[白]
屈	k'ut5	屈：委～，～服[文]
軍	kun44	军：～队，参～
君	kun44	君：～子
勿	mut3	勿：非礼～视
物	mɔt3	物：～理[文]
物	mɔt3	物：～件[白]
刎	mun24	刎：自～
問	mun44	问：～题
吻	mun24	吻：接～
聞	mɔn51	闻：新～
蚊	mun44	蚊：～香
紋	mɔn51	纹：花～
文	mɔn51	文：～章，论～
佛	hun3	佛：拜～
份	hun44	份：～量
忿	hun44	忿：～～不平
憤	hun31	愤：气～，～怒
墳	hun51	坟：～墓，上～
彿	hut5	佛：仿～
焚	hun51	焚：～烧
紛	hun44	纷：纠～
芬	hun44	芬：～芳
糞	hun31	粪：粪便
奮	hun31	奋：～斗
粉	hun24	粉：～松[白]
粉	hun24	粉：～笔，面～[文]
分	hun44	分：给[白]
分	hun44	分：～数，区～[文]
尹	zɿ51	尹：姓，～相杰
允	zɿn31	允：～许
勻	k'un44	匀：均～
橘	kit5	橘：橘子
菌	k'un31	菌：细～
鈞	k'un44	钧：千～一发
均	k'un44	均：平～，～匀
閏	zɿn44	闰：～月
潤	zɿn44	润：利～，～色
醇	sun51	醇：酒味～
純	sun51	纯：单～，～粹
舜	sun51	舜：尧～
述	sut3	述：叙～
術	sut3	术：技～
順	sun44	顺：～利，～风
脣	sun51	唇：嘴～[训，舷]
出	ts'ut5	出：～入，～发
脣	sun51	唇：嘴～[文]
春	ts'un44	春：立～
蠢	ts'un24	蠢：～才
准	tsun24	准：批～，～确
準	tsun24	准：瞄～，～则
蟀	sut5	蟀：蟋～
率	soi44	率：～领
椿	ts'un44	椿：～树，香～
朮	sut3	朮：白～（中药）
殉	sun51	殉：～职，～情
循	sun51	循：遵～，～环
巡	sun51	巡：～逻，出～
旬	sun51	旬：上～
恤	sut5	恤：体～，抚～
迅	sen31	迅：～速
戌	sut5	戌：戊～变法
筍	sun24	笋：竹～
榫	sun24	榫：～头（接合处）
俊	tsun31	俊：英～
遵	tsun44	遵：～守
褸	lɛi44	褛：大～
竇	tɛi31	窦：鸟～
髀	pi24	髀：大～（大腿）
脢	moi51	脢：背～（背部），～肉（背脊肉）
嫲	na31	嫲：雌性
崠	tuŋ31	崠：山～（山脊），屋～（屋脊）
戟	kit5	戟：巴～（中药，鸡肠风）
坼	ts'ak5	坼：裂开，爆～
踭	tsaŋ44	踭：脚后跟，脚～
圳	tsun31	圳：深～；田中小沟
詢	sun51	询：咨～，～问
逩	pun44	奔：投～
癲	tian44	癫：～鬼
櫼	tsiam44	櫼：塞，挤
煞	sat5	煞：凶神恶～
健	k'ian44	健：～康
竂	liau51	竂：茅～，鸡～
沸	pui31	沸：沸腾
畲	ts'ia51	畲：～族
墅	si24	墅：别～
播	pɔ31	播：广～，～种
屙	ɔ44	屙：排泄，～尿，～屎
浴	jiuk3	浴：～堂（浴室）[白]
慾	jiuk3	欲：～望，贪～
浴	jiuk3	浴：沐～露[文]
欲	jiuk3	欲：～速则不达
用	iuŋ44	用：～处
用	iuŋ44	用：有～
湧	niuŋ24	涌：～现，洶～
勇	niuŋ24	勇：～敢
庸	iuŋ44	庸：平～，～俗
鎔	iuŋ51	镕：朱～基（人名）
蓉	iuŋ51	蓉：芙～
容	iuŋ51	容：～易，宽～
擁	uŋ24	拥：～护
雍	iuŋ44	雍：～正皇帝
凶	huŋ44	凶：吉～
兇	huŋ44	凶：～恶
胸	huŋ44	胸：心～
獄	ŋɔk3	狱：监～
玉	niuk3	玉：白～
局	k'uk3	局：～部，公安～
共	k'uŋ44	共：一～，～同
曲	k'uk5	曲：歌～，～折
恐	k'uŋ24	恐：～怖
供	jiɔŋ31	供：～细人（生小孩）
拱	kuŋ24	拱：～手，～桥
鞏	kuŋ24	巩：～固
恭	kuŋ44	恭：～敬
供	k'uŋ44	供：提～，～应
辱	jiuk3	辱：污～
褥	jiuk3	褥：垫被，褥子
茸	jiuŋ51	茸：鹿～
屬	suk3	属：～于，家～
蜀	tsuk5	蜀：四川简称，乐不思～
束	ts'uk5	束：结～
舂	tsuŋ44	舂：～米
贖	suk3	赎：～罪
觸	ts'uk5	触：接～，～犯
衝	ts'uŋ44	冲：～锋枪
囑	tsuk5	嘱：遗～，～托
燭	tsuk5	烛：蜡～
腫	tsuŋ24	肿：～起来，水～
種	tsuŋ31	种：～田[动]
種	tsuŋ24	种：～类，树～[名，量]
盅	tsuŋ44	盅：酒～，两～酒
鐘	tsuŋ44	钟：两点～，闹～
重	ts'uŋ31	重：轻～[白]
重	ts'uŋ31	重：～量[文]
重	ts'uŋ51	重：～复
寵	tsuŋ24	宠：～爱，得～
續	ts'uk3	续：继～，～集
俗	ts'uk3	俗：风～
訟	suŋ44	讼：诉～
頌	suŋ24	颂：歌～
率	lut3	率：效～
輪	lun51	轮：车～，～流
律	lut3	律：法～，～师
淪	lun51	沦：沉～
倫	lun51	伦：～理，天～之乐
瘟	ʔun44	瘟：鸡～
穩	ʔun24	稳：～定，求～
溫	ʔun44	温：～度，～和
核	hak5	核：～卵（睾丸）[白]
核	hut3	核：龙眼～[白]
核	hat3	核：～心，～对[文]
混	k'un24	混：～淆，相～
渾	vun51	浑：水浑[白]
渾	vun51	浑：～浊[文]
忽	t'ut5	忽：～然
魂	vun51	魂：灵～
婚	hun44	婚：结～
窟	hut5	窟：小坑[白]
昏	hun44	昏：黄～
窟	k'ut5	窟：～窿[文]
困	k'un31	困：～难
綑	k'un24	捆：～绑
坤	k'un44	坤：乾～
棍	kun31	棍：长～
骨	kut5	骨：～头
滾	kun24	滚：～动；水开
昆	k'un44	昆：～明，～虫
遜	sun44	逊：～色，谦～
孫	sɔn44	孙：姓；子～
損	sɔn24	损：～坏
蹲	k'ɛi51	蹲：蹲下[白]
蹲	tun44	蹲：～马（扎马步）[文]
存	ts'un51	存：～在，～折，储～
猝	tsut5	猝：仓～，～死
寸	ts'ɔn31	寸：尺～
卒	tsut5	卒：兵～，小～
村	ts'ɔn44	村：～长
尊	tsun44	尊：～重
論	lun44	论：议～，～文
崙	lun51	仑：昆～
論	lun44	论：～语
突	t'ut5	突：～出
嫩	nun44	嫩：不老
凸	t'ut5	凸：～起
突	t'ut5	突：～然
遁	tun24	遁：逃～
鈍	t'un44	钝：迟～，～角
盾	t'un24	盾：矛～
沌	t'un44	沌：混～
囤	t'un51	囤：～积
屯	t'un51	屯：～田
豚	t'un51	豚：海～
褪	t'ɔi31	褪：～色
墩	tun24	墩：桥～
頓	tun24	顿：停～，～脚
沒	mut3	没：沉～，～有，出～
敦	tun44	敦：～厚；伦～（地名）
門	mɔn51	门：关～
悶	mun44	闷：烦～，～热
勃	p'ut3	勃，蓬～，生机～～
笨	pun31	笨：～蛋[文]
笨	p'ɔn31	笨：厚[白]
盆	p'ɔn51	盆：面～（脸盆），～地
不	put5	不：～过
噴	p'un31	喷：～水；～嚏
本	pɔn24	本：～来，书～
奔	pun44	奔：～跑，东～西走
隱	ʔun24	隐：～形，～身
癮	zɿn24	瘾：喜欢；烟～
殷	ŋian44	殷：姓；～勤
欣	hin44	欣：～赏
近	k'in31	近：远近[白]
芹	k'in51	芹：～菜
近	k'in31	近：最～，～来[文]
勤	k'in51	勤：～劳
乞	hat5	乞：～食，～求
訖	k'ian31	讫：收～
勁	kin31	劲：有～，～敌
