#漢字	音標	解釋
嫌	hiam55	嫌：～弃，～人
協	hiat055	协：～会，～作
法	fap031	法：方～
凡	fan55	凡：平～
犯	fam35	犯：～法[文]
品	pʰin51	品：～德
林	lim55	林：树～；姓
立	lip055	立：～足
粒	liap055	粒：三～，颗～
浸	tsim51	浸：～水
集	tsip055	集：～合，～体
心	sim31	心：～肝，内～
尋	tsʰim55	寻：～人
沉	tʃʰim55	沉：～底
參	sɛn31	参：人～
針	tʃim31	针：～线，～对
枕	tʃim51	枕：～头[名]；～枕头[动]
汁	tʃip031	汁：菜～，果～
深	tsʰim31	深：～浅，～入
沈	ʃim51	沈：姓；地名，～阳
濕	ʃip031	湿：潮～
十	ʃip055	十：数字
任	ʒim35	任：姓；责～，～何
入	ŋip055	入：～门，进～
金	kim31	金：～银
錦	kim51	锦：～绣，～旗
禁	kim51	禁：～止
急	kip031	急：心～
級	kʰip031	级：～别，年～
欽	tsʰin31	钦：～差，～佩
琴	kʰim55	琴：弹～
及	kʰip055	及：～时
吸	kʰip031	吸：呼～，～引
陰	ʒim31	阴：～天
飮	ʒim51	饮：～料
單	tan31	单：～独
旦	tan51	旦：元～，花～
攤	tʰan31	摊：分～，～开，摆～
炭	tʰan51	炭：烧～
彈	tʰam55	弹：～琴
達	tʰat055	达：发～，～到
難	nan55	难：困～
捺	nai35	捺：撇～
蘭	lan55	兰：～花
懶	lan31	懒：懒惰，～尸
爛	lan35	烂：灿～，腐～
辣	lat055	辣：～椒
贊	tsam51	赞：称～，～助
餐	tsʰan31	餐：～车，快～
殘	tsʰan55	残：～废
散	san51	散：药～
散	san51	散：分～，解～
亁	kɔn31	干：烘～，饼～
趕	kɔn51	赶：追～
幹	kɔn51	干：～部，才～
割	kɔt031	割：～禾（割稻）
看	ŋiaŋ51	看：看见
渴	kʰɔt031	渴：口渴；～望
岸	ŋai35	岸：口～，两～
寒	hɔn55	寒：大～，～流
汗	hɔn35	汗：出～，～马功劳
安	ɔn31	安：公～，～全
案	ɔn51	案：～件，档～
扮	han35	扮：打～
八	pat031	八：数字
辦	pʰan35	办：～事
拔	pat055	拔：～河，选～
盞	tsam51	盏：灯～（灯）
紮	tsap031	扎：～紧，驻～
鏟	tsʰam51	铲：～草
察	tsʰat031	察：观～
山	san31	山
產	san51	产：生～
殺	sat031	杀：～人，自～
間	kian31	间：房～，中～
揀	tʰɔk055	拣：挑选
眼	ian55	眼：双～皮
閑	han55	闲：～事，空～
限	han35	限：期～，～制
班	pan31	班：上～
板	pan51	板：黑～，石～
蠻	man55	蛮：不听话；野～
慢	man35	慢：～车
顏	ŋian35	颜：姓；～色
雁	ʒan51	雁：大～
變	pian51	变：～化，改～
鼈	piat031	鳖：甲鱼
篇	pʰian31	篇：一～文章
便	pʰian31	便：～宜
辨	pʰian31	辨：分～，～别
便	pʰian35	便：方～
別	piat055	别：离～，分～
棉	mian55	棉：～花
免	mian51	免：难～，～除
面	mian51	面：～子
滅	miat055	灭：消～，～亡
聯	lian55	联：～系；对～
烈	liat055	烈：～士，热～
煎	tsian31	煎：～药，～鱼
剪	tsian51	剪：～刀
箭	tsian51	箭：射～
淺	tsʰian51	浅：深～
錢	tsʰian55	钱：～财
賤	tsian51	贱：下～，～人
仙	sian31	仙：神～
癬	sian51	癣：发～（生癣）
線	sian51	线：～索
展	tan51	展：开～，发～
撤	tsʰɛt031	撤：～退
纏	tsʰam55	缠：纠～，～线
戰	tʃan51	战：～斗
折	tsip031	折：～断，打～
舌	ʃat055	舌：舌头
設	siat031	设：～计，建～
善	ʃan51	善：～良，心～
然	ʒan55	然：～后，居～
熱	ŋiat055	热：冷～，～情
乾	tsʰian55	乾：～坤，～隆
件	kʰian35	件：事～
傑	kiat055	杰：～出
延	ʒan55	延：～长，～安
演	ʒan35	演：～员，表～
建	kian51	建：～设
揭	kiat031	揭：～发，～露
言	ŋian55	言：语～
獻	hian51	献：贡～
歇	hiat031	歇：～夜（过夜）
邊	pian31	边：～疆，旁～
扁	pian51	扁：圆扁
片	pʰan51	片：一～，～面
撇	pʰiat031	撇：～捺，～开
顚	tian31	颠：～倒
典	tam51	典：～型，词～
天	tʰan31	天：～才
鐵	tʰat031	铁：～皮
田	tʰan55	田：种～
電	tian35	电：触～，～灯
墊	tʰap031	垫：～钱，座～
年	nan55	年：过～
捏	nɛt031	捏：以指尖捏取小面积
練	lian35	练：～习，熟～
薦	kian35	荐：推～
節	tsiat031	节：～约，竹～
千	tsʰian31	千：～万
切	tsʰiat031	切：～菜
截	tsiat031	截：～断
先	sian31	先：祖～，～进，～生
見	kian51	见：～人，～识
潔	kiat031	洁：～白，清～
牽	kʰian31	牵：～牛花
硏	ŋian35	研：～究
顯	hian51	显：明～
賢	hian55	贤：～惠，圣～
現	hian35	现：～在，出～
煙	ʒan31	烟：冒～
燕	ʒan35	燕：燕子，～窝
搬	pan31	搬：～运
半	pan51	半：一～，～日
鉢	pat031	钵：花～（花盆），衣～
潘	pʰan31	潘：姓
判	pʰan35	判：～断，审～
潑	pʰɔt031	泼：～水；泼辣
盤	pʰan55	盘：算～
叛	pʰan51	叛：～徒，背～
滿	man51	满：～意
末	mat055	末：～尾
短	tɔn51	短：长～
脫	tʰɔt031	脱：～鞋，摆～
團	tʰɔn55	团：～结，～长
斷	tʰɔn31	断：线断了[白]
段	tʰɔn35	段：姓；阶～
奪	tʰɔt055	夺：～取
暖	nɔn51	暖：冷～
卵	lɔn51	卵：鸡～（鸡蛋），～生
亂	lɔn35	乱：混～
捋	lɔt055	捋：捋袖子
鑽	tsɔn51	钻：电～[名]，～石
撮	tsut031	撮：一～毛
酸	sɔn31	酸：～甜
蒜	sɔn51	蒜：大蒜，蒜头
官	kuan31	官：～司，当～
管	kuan51	管：～理，气～
灌	kuan51	灌：～溉
括	kʰuat031	括：包～
寬	kʰuan31	宽：～松
款	kʰuan51	款：汇～，拨～
闊	kʰuat031	阔：开～
玩	ŋuan31	玩：～具，游～
歡	fan31	欢：喜～，～喜
丸	ŋian55	丸：肉～，药～
換	van35	换：交～[文]
活	fat055	活：生～
碗	van51	碗：饭～
滑	vat055	滑：地～，～稽
挖	uã31	挖：～掘[文]
關	kuan31	关：～门，海～
刮	kuat031	刮：～毛，搜～
還	van55	还：～钱[白]
環	fan35	环：～境
彎	van31	弯：转～
戀	lian35	恋：～爱
劣	liat055	劣：～质，恶～
全	tsʰian55	全：～部，安～
絕	tsʰiat055	绝：～对
宣	sian31	宣：～布，～传
選	sian51	选：～择，挑～
雪	siat031	雪：落～（下雪），～白
旋	sian35	旋：～转
轉	tʃan51	转：～学，～移，翻～
傳	tʃʰan55	传：～达，流～
專	tʃan31	专：～门，大～
穿	tʃʰan31	穿：～堂风，揭～
串	tsʰɔn51	串：一～，～通
船	fian55	船：轮～
說	ʃat031	说：小～
軟	ŋian31	软：～弱
捲	kyan51	卷：～起来[动]
圈	kʰian31	圈：圆～，～套
拳	kʰian55	拳：～头
圓	vian55	圆：团～
院	ĩ11	院：医～，～长
閱	ʒat055	阅：～读
反	fan51	反：～对，造～
發	fat031	发：～展，～财[文]
發	fat031	发：～虫（长虫）[白]
翻	fan31	翻：～书[文]
翻	pʰɔn31	翻：翻转；呕吐[白]
煩	fan55	烦：麻～
飯	pʰɔn35	饭：食～，～店
罰	fat055	罚：～款，惩～
晚	van51	晚：～会
萬	van35	万：～一
襪	mat031	袜：鞋～
勸	kʰian51	劝：规～
原	ŋian55	原：～来，平～
願	ŋian35	愿：～望
怨	uan51	怨：～人，埋～
遠	vian51	远：永～
粵	ʒat055	粤：～东
決	kuat031	决：～定
犬	kʰian51	犬：狂～病
血	fiat031	血：流～
縣	vian35	县：～长
穴	hiat031	穴：～位
吞	tʰun31	吞：～口水
跟	kɯn31	跟：～从
恩	ɛn31	恩：～人
賓	pin31	宾：贵～
筆	pit21	笔：毛～，～记
匹	phi53	匹：～配
貧	phin55	贫：扶～
民	min55	民：人～，～族
敏	min53	敏：灵～
密	mit53	密：秘～，～封
鄰	lin55	邻：～居
鱗	lin21	鳞：鱼～
栗	lip51	栗：～子
進	tsin53	进：～步，前～
親	tshin21	亲：～生，父～
七	tshit21	七：数字
秦	tshin55	秦：姓；～国
盡	tshin35	尽：～量，～力，～头
疾	tsip51	疾：残～
新	sin21	新：～旧
信	sin53	信：相～
膝	tshit21	膝：～头（膝盖）
珍	tin21	珍：～珠
鎭	tin53	镇：～长，～压
