#漢字	音標	解釋
疑	ȵi213	疑
擬	ȵi213	擬
嬉	hi31	嬉
煕	si45	熙
喜	hei31	喜
醫	i45	醫
意	i33	意
已	i31	已
以	i31	以
異	ki33	異
幾	ki33	幾
機	ki45	機
譏	ki45	譏
饑	kei45	饑
幾	kei31	幾
既	ki33	既
豈	seŋ213	豈
氣	kʰi33	氣
汽	hɛ33	汽
祈	kʰi213	祈
毅	ŋɛ33	毅
希	hi45	希
稀	hi45	稀
衣	i45	衣
依	i45	依
累	lui31	累
累	lui213	累
嘴	ʦui31	嘴
髓	sui31	髓
隨	ʦʰui213	隨
吹	ʦʰui33	吹
炊	ʦʰui33	炊
垂	sui213	垂
睡	sɔi33	睡
瑞	sui33	瑞
蕊	ȵun31	蕊
規	kʰɔi45	規
詭	kui31	詭
虧	kʰui45	虧
跪	kʰui31	跪
危	ŋɔi213	危
僞	ŋui31	僞
毀	fui31	毁
萎	vui31	萎
委	vui31	委
爲	vɔi213	爲
爲	vui213	爲
壘	lui213	壘
類	lui33	類
淚	lui33	淚
醉	ʦui33	醉
翠	ʦʰui33	翠
雖	sui45	雖
粹	sui33	粹
遂	sui33	遂
隧	sui33	隧
穗	jui31	穗
追	ʦui45	追
槌	ʦʰui213	槌
錘	ʦʰui213	錘
墜	sui33	墜
衰	sɔi45	衰
摔	sɔk031	摔
帥	sui33	帥
錐	ʦui33	錐
水	sui31	水
誰	sui213	誰
龜	kui45	龜
軌	kui31	軌
癸	kui33	癸
愧	kʰui33	愧
季	kui33	季
逵	kʰui213	逵
葵	kʰui213	葵
櫃	kʰui33	櫃
位	vui33	位
維	vɔi213	維
惟	vɔi213	惟
遺	vui31	遺
唯	vui213	唯
非	fui33	非
飛	fui45	飛
匪	fui31	匪
沸	fɔk055	沸
妃	fui33	妃
費	fui33	費
肥	pʰui213	肥
翡	fui31	翡
微	mei213	微
尾	mui45	尾
未	mui33	未
味	mui33	味
歸	kui33	歸
鬼	kui31	鬼
貴	kui33	貴
魏	ŋui31	魏
揮	fui45	揮
輝	fui33	輝
徽	fui33	徽
諱	vui31	諱
威	vui33	威
畏	vui33	畏
慰	jui33	慰
違	vui31	違
圍	vui213	圍
偉	vui31	偉
葦	vui31	葦
緯	vui31	緯
胃	vui31	胃
謂	vui33	謂
蝟	vui31	猬
匯	fui33	匯
褒	pɔu45	褒
保	pɔ31	保
堡	pɔ31	堡
寶	pɔ31	寶
報	pɔu33	報
袍	pʰɔ213	袍
抱	pʰau31	抱
暴	pʰau33	暴
菢	pʰu33	菢
毛	mɔu45	毛
冒	mau31	冒
帽	mɔu33	帽
刀	tɔu45	刀
禱	tʰɔu213	禱
島	tɔu31	島
搗	tɔu213	搗
倒	tɔu31	倒
到	tɔu33	到
倒	tɔu31	倒
滔	tʰɐu45	滔
討	tʰɔ31	討
套	tʰɔu33	套
桃	tʰɔu213	桃
逃	tʰɔu213	逃
淘	tʰɔu213	淘
陶	tʰɔu213	陶
萄	tʰɔu213	萄
濤	tʰɐu45	濤
道	tʰɔ33	道
稻	tʰɔ33	稻
盜	tʰɔ33	盗
導	tʰɔ31	導
腦	nɔ31	腦
惱	nɔ31	惱
勞	lɔ213	勞
撈	lɔ45	撈
撈	lɔ33	撈
牢	lɔ213	牢
老	lɔ31	老
澇	lɔ213	澇
遭	ʦɔu45	遭
糟	ʦɔu33	糟
早	ʦɔ31	早
棗	ʦɔ31	棗
蚤	sɐt055	蚤
澡	ʦʰau33	澡
躁	ʦʰɔu33	躁
竈	ʦɔu33	竈
操	ʦʰɔu45	操
草	ʦʰɔ31	草
糙	ʦʰɔ45	糙
曹	ʦʰɔ213	曹
槽	ʦʰɔ213	槽
皂	ʦʰɔ33	皂
造	ʦʰɔ33	造
騷	sɔ45	騷
臊	sɔ33	臊
