#漢字	音標	解釋
管	kɔn24	管：～理，气～
灌	kɔn212	灌：～溉
括	kat5	括：包～
寬	k'ɔn33	宽：～松
款	hɔn24	款：汇～，拨～
闊	fɔt5	阔：开～
玩	vɔn54	玩：～具，游～
歡	fɔn33	欢：喜～，～喜
丸	yɔn31	丸：肉～，药～
換	vɔn54	换：交～[文]
活	vɔt3	活：生～
碗	vɔn24	碗：饭～
頑	ŋan31	顽：～固，～皮
滑	vat3	滑：地～，～稽
挖	vat5	挖：～掘[文]
關	kan33	关：～门，海～
刮	kat5	刮：～毛，搜～
還	van31	还：～钱[白]
環	van31	环：～境
彎	van33	弯：转～
戀	lyɔn54	恋：～爱
劣	lyɛt5	劣：～质，恶～
全	ts'yɔn31	全：～部，安～
絕	ts'yɛt3	绝：～对
宣	syɔn33	宣：～布，～传
選	syɔn24	选：～择，挑～
雪	syɔt5	雪：落～（下雪），～白
旋	syɔn31	旋：～转
轉	tsɔn24	转：～学，～移，翻～
傳	ts'ɔn31	传：～达，流～
專	tsɔn33	专：～门，大～
穿	ts'ɔn33	穿：～堂风，揭～
串	ts'ɔn212	串：一～，～通
船	sɔn31	船：轮～
說	sɔt5	说：小～
軟	nyɔn212	软：～弱
捲	kyɔn24	卷：～起来[动]
圈	k'yɔn33	圈：圆～，～套
拳	k'yɔn31	拳：～头
圓	yɔn31	圆：团～
院	yɔn24	院：医～，～长
閱	yɔt3	阅：～读
反	fan24	反：～对，造～
發	fat5	发：～展，～财[文]
發	fat5	发：～虫（长虫）[白]
翻	fan33	翻：～书[文]
翻	fan33	翻：翻转；呕吐[白]
煩	fan31	烦：麻～
飯	fan54	饭：食～，～店
鱗	lin31	鳞：鱼～
栗	lit3	栗：～子
進	tsin212	进：～步，前～
親	ts'in33	亲：～生，父～
七	ts'it5	七：数字
秦	ts'in31	秦：姓；～国
盡	ts'in54	尽：～量，～力，～头
疾	ts'it3	疾：残～
新	sin33	新：～旧
信	sin212	信：相～
膝	ts'it5	膝：～头（膝盖）
珍	ʦin33	珍：～珠
鎭	tsin24	镇：～长，～压
陳	ts'in31	陈：姓；～列，～皮
陣	ts'in54	阵：～雨
姪	ts'iɛt3	侄：～子
蝨	siɛt5	虱：虱子，～嫲
眞	tsin33	真：认～，～假
振	tsian24	振：～动
質	tsit5	质：～量，品～
神	sin31	神：～仙，精～
實	sit3	实：老～，～在
身	sin33	身：～体，上～
失	sit5	失：～去，丧～
晨	sin31	晨：朝～
腎	sin54	肾：～病
人	nin31	人：老～，～民
仁	jin31	仁：～义
忍	nin212	忍：～耐，～受
認	nin54	认：承～，～真
