#漢字	音標	解釋
賴	lai22	赖：姓，无赖，赖帐
癩	lai33	癞：癞头，癞（皮）蛤蟆
蔡	tsʰoi33	蔡：姓
蓋	kʰoi33	盖：盖子，盖被
丐	kʰoi33	丐：乞丐，给，被动标记
艾	ŋai22	艾：艾草（端午节挂于门上,可以避邪除毒），艾滋病
害	hoi22	害：害人
藹	oi35	蔼：和蔼
拜	pai33	拜：结拜，拜佛，礼拜
排	pʰai21	排：并排，排队
埋	mai21	埋：埋葬，埋头苦干
齋	tsai53	斋：吃斋
豺	tsʰai21	豺：豺狼虎豹
皆	kai53	皆：皆大欢喜
階	kai53	阶：台阶，阶段，阶级
介	kai33	介：介绍，中介
界	kai33	界：世界，边界
芥	kai33	芥：芥菜
尬	kai33	尬：尴尬
疥	kai33	疥：疥疮
屆	kai33	届：第一届，届时
戒	kai33	戒：戒指，戒烟，猪八戒
揩	hai53	揩：擦，揩油
楷	kai33	楷：楷书，大楷
駭	hat	骇：骇人听闻，惊骇
械	hai22	械：机械
挨	ai53	挨：挨近，挨住
擺	pai35	摆：摇摆，摆架子，放
派	pʰai33	派：派他去，派出所，老派
簰	pʰai21	排：竹排
牌	pʰai21	牌：牌坊，打牌
罷	pa22	罢：罢工，与“了”相当的助词
稗	pai22	稗：雄性的稻子，不能生谷
買	mai13	买：买进
賣	mai22	卖：卖掉
奶	lai13	奶：喂奶，奶奶
債	tsai33	债：讨债，还债
釵	tsʰai53	钗：宝钗，钗子
差	tsʰai53	差：出差
柴	tsʰai21	柴：火柴，柴火
篩	sai53	筛：筛酒，筛子，筛选
灑	sa35	洒：洒水
曬	sai33	晒：晒谷，晒衣服，晒太阳
佳	kai53	佳：人名用字
街	kai53	街：大街
解	kai35	解：讲解，解释
懈	hai13	懈：身体没劲，浆糊失去黏性，丧失兴趣，关系由密切变得疏远，松懈
涯	ŋai21	涯：天涯
崖	ŋai21	崖：悬崖
捱	ŋai21	捱：捱打
鞋	hai21	鞋：布鞋，草鞋，皮鞋
解	hai13	解：姓
蟹	hai13	蟹：八足二螯
矮	ai35	矮：个子矮
敗	pai22	败：打败，失败
邁	mai22	迈：老迈，迈步
寨	tsai22	寨：山寨，大寨
蔽	pei33	蔽：隐蔽
弊	pei22	弊：作弊
幣	pei22	币：人民币
斃	pei22	毙：枪毙
例	lai22	例：举例，例子
厲	lai22	厉：严厉，厉害
勵	lai22	励：鼓励
世	sai33	世：世界
勢	sai33	势：势力，有钱有势
誓	sai33	誓：发誓
逝	sai33	逝：去逝
藝	ŋai22	艺：艺术，文艺
蓖	pei53	蓖：蓖麻
閉	pei33	闭：闭眼，关闭
批	pʰei53	批：一批，批评
陛	pei33	陛：陛下
迷	mei21	迷：迷路
米	mai13	米：大米
謎	mei21	谜：谜语，猜谜
低	tai53	低：高低
堤	tʰai21	堤：河堤
底	tai35	底：底气，水底
抵	tai35	抵：抵押
帝	tai33	帝：皇帝，帝国
蒂	tai33	蒂：瓜蒂
梯	tʰai53	梯：楼梯，梯子
體	tʰai35	体：体育，身体
替	tʰai33	替：代替，替身
涕	tʰai33	涕：鼻涕
剃	tʰai33	剃：剃头
題	tʰai21	题：题目，难题
提	tʰai21	提：提问，提醒
蹄	tʰai21	蹄：猪蹄
啼	tʰai21	啼：啼笑皆非，鸡啼
弟	tai22	弟：兄弟，弟弟
第	tai22	第：门第，第一
遞	tai22	递：传递
泥	lai21	泥：烂泥，水泥
犂	lai21	犁：耕田用具
黎	lai21	黎：黎明
禮	lai13	礼：送礼，礼貌
麗	lai22	丽：人名用字
隷	tai22	隶：奴隶，隶属
莉	lei22	莉：茉莉
擠	tsai53	挤：拥挤，挤上去，挤牙膏
濟	tsai33	济：接济，经济，济公
妻	tsʰai53	妻：老婆
砌	tsʰai33	砌：砌墙，砌茶
齊	tsʰai21	齐：整齐，齐了
臍	tsʰɐi21	脐：肚脐，脐带
劑	tsai53	剂：药剂
西	sai53	西：东西南北
棲	tsʰai53	栖：
犀	sai53	犀：犀牛，羚羊犀角
洗	sai35	洗：洗衣服，洗衣粉
細	sai33	细：粗细，大细，比…少。
婿	sai33	婿：女婿
鷄	kai53	鸡：公鸡、小鸡
稽	kʰai53	稽：会稽，稽查
計	kai33	计：会计，计算
繼	kai33	继：继承，继续
繫	hai22	系：系鞋带，把鸡的两只脚捆起来便于携带
髻	kai33	髻：发髻
溪	kʰai53	溪：大溪
啓	kʰai35	启：启发
契	kʰai33	契：契约，地契
倪	ŋai21	倪：姓
系	hai22	系：中文系，系统
繫	hai22	系：系鞋带
係	hai22	係：是
杯	pui53	杯：茶杯
輩	pui33	辈：辈分，长辈
