#漢字	音標	解釋
深	ʦʰɐm55	深：～浅，～入
沈	sɐm35	沈：姓；地名，～阳
濕	sɐp055	湿：潮～
十	sɐp022	十：数字
任	jɐm22	任：姓；责～，～何
入	jɐp022	入：～门，进～
金	kɐm55	金：～银
錦	kɐm35	锦：～绣，～旗
禁	kɐm33	禁：～止
急	kɐp055	急：心～
級	kʰɐp055	级：～别，年～
欽	jɐm55	钦：～差，～佩
琴	kʰɐm11	琴：弹～
及	kɐp022	及：～时
吸	kʰɐp055	吸：呼～，～引
陰	jɐm55	阴：～天
飮	jɐm35	饮：～料
單	tan55	单：～独
旦	tan22	旦：元～，花～
攤	tʰan55	摊：分～，～开，摆～
炭	tʰan33	炭：烧～
彈	tʰan11	弹：～琴
達	tat022	达：发～，～到
難	lan11	难：困～
捺	lai11	捺：撇～
蘭	lan11	兰：～花
懶	lan24	懒：懒惰，～尸
爛	lan22	烂：灿～，腐～
辣	laʔ022	辣：～椒
贊	ʦan33	赞：称～，～助
餐	tsʰan55	餐：～车，快～
殘	tsʰan11	残：～废
散	san35	散：药～
散	san33	散：分～，解～
亁	kuɔn33	干：烘～，饼～
趕	kuɔn35	赶：追～
幹	kuɔn33	干：～部，才～
割	kuɔt032	割：～禾（割稻）
看	huɔn33	看：看见
渴	huɔt032	渴：口渴；～望
岸	ɡᵑuɔn22	岸：口～，两～
寒	huɔn11	寒：大～，～流
汗	huɔn22	汗：出～，～马功劳
安	ᵘɔn55	安：公～，～全
案	ᵘɔn33	案：～件，档～
扮	pʰan22	扮：打～
八	pat032	八：数字
辦	pan22	办：～事
拔	pat022	拔：～河，选～
盞	tsan35	盏：灯～（灯）
紮	tsat033	扎：～紧，驻～
鏟	tsʰan35	铲：～草
察	tsʰat032	察：观～
山	san55	山
產	tsʰan35	产：生～
殺	sat032	杀：～人，自～
間	kan55	间：房～，中～
揀	kan35	拣：挑选
眼	ɡᵑan24	眼：双～皮
閑	han11	闲：～事，空～
限	han22	限：期～，～制
班	pan55	班：上～
板	pan35	板：黑～，石～
蠻	bᵐan11	蛮：不听话；野～
慢	bᵐan22	慢：～车
顏	gᵑan11	颜：姓；～色
雁	ɡᵑai11	雁：大～
瞎	bᵐan11	瞎：～目
變	pin33	变：～化，改～
篇	pʰin55	篇：一～文章
便	pʰin22	便：～宜
辨	pin22	辨：分～，～别
便	pin22	便：方～
別	pit022	别：离～，分～
棉	bᵐin11	棉：～花
免	bᵐin24	免：难～，～除
面	bᵐin22	面：～子
滅	bᵐit022	灭：消～，～亡
聯	lin11	联：～系；对～
烈	lit033	烈：～士，热～
煎	tsin55	煎：～药，～鱼
剪	tsin35	剪：～刀
箭	tsin33	箭：射～
淺	tsʰin35	浅：深～
錢	tsʰin11	钱：～财
賤	tsin33	贱：下～，～人
仙	sin55	仙：神～
癬	sin35	癣：发～（生癣）
線	sin33	线：～索
展	tsin35	展：开～，发～
撤	tsʰit032	撤：～退
纏	tsʰin11	缠：纠～，～线
戰	tsin33	战：～斗
折	tsit033	折：～断，打～
舌	lei22	舌：舌头
設	tsʰit033	设：～计，建～
善	sin22	善：～良，心～
然	jin11	然：～后，居～
熱	jit022	热：冷～，～情
乾	kʰyn11	乾：～坤，～隆
件	kin35	件：事～
傑	kit022	杰：～出
延	jin11	延：～长，～安
演	jin24	演：～员，表～
建	kin33	建：～设
言	jin11	言：语～
獻	hin33	献：贡～
邊	pin55	边：～疆，旁～
扁	pin24	扁：圆扁
片	pʰin33	片：一～，～面
撇	pʰit033	撇：～捺，～开
顚	tin55	颠：～倒
典	tin35	典：～型，词～
天	tʰin55	天：～才
鐵	tʰit033	铁：～皮
田	tʰin11	田：种～
電	tin22	电：触～，～灯
墊	tin22	垫：～钱，座～
年	lin11	年：过～
捏	kʰim11	捏：以指尖捏取小面积
練	lim22	练：～习，熟～
薦	ʦin33	荐：推～
節	tsit033	节：～约，竹～
千	tsʰin55	千：～万
切	tsʰit033	切：～菜
截	tsit033	截：～断
先	sin55	先：祖～，～进，～生
見	kin33	见：～人，～识
潔	kit033	洁：～白，清～
牽	hin55	牵：～牛花
硏	jyn11	研：～究
顯	him35	显：明～
賢	jin11	贤：～惠，圣～
現	jin33	现：～在，出～
煙	jin55	烟：冒～
燕	jin33	燕：燕子，～窝
搬	pun55	搬：～运
半	pun33	半：一～，～日
鉢	put033	钵：花～（花盆），衣～
潘	pʰun55	潘：姓
判	pʰun33	判：～断，审～
潑	pʰut033	泼：～水；泼辣
盤	pʰun11	盘：算～
叛	pʰun33	叛：～徒，背～
滿	mun24	满：～意
末	mut022	末：～尾
短	tyn35	短：长～
脫	tʰyt033	脱：～鞋，摆～
團	tʰyn11	团：～结，～长
斷	tyn33	断：线断了[白]
段	tyn33	段：姓；阶～
奪	tyt022	夺：～取
暖	lyn24	暖：冷～
卵	lyn24	卵：鸡～（鸡蛋），～生
亂	lyn33	乱：混～
鑽	tsyn33	钻：电～[名]，～石
酸	syn55	酸：～甜
蒜	syn33	蒜：大蒜，蒜头
官	kun55	官：～司，当～
管	kun35	管：～理，气～
灌	kun33	灌：～溉
括	kut033	括：包～
寬	fun55	宽：～松
款	fun35	款：汇～，拨～
闊	fut033	阔：开～
玩	wan35	玩：～具，游～
歡	fun55	欢：喜～，～喜
丸	jun35	丸：肉～，药～
換	vun22	换：交～[文]
活	vut033	活：生～
碗	vun35	碗：饭～
頑	ɡᵑan11	顽：～固，～皮
滑	vuat022	滑：地～，～稽
挖	vuat022	挖：～掘[文]
關	kuan55	关：～门，海～
刮	kuat033	刮：～毛，搜～
還	vuan11	还：～钱[白]
環	vuan11	环：～境
彎	vuan55	弯：转～
戀	lyn22	恋：～爱
全	ʦʰyn11	全：～部，安～
絕	tsyt022	绝：～对
宣	syn55	宣：～布，～传
選	syn35	选：～择，挑～
雪	syt033	雪：落～（下雪），～白
旋	syn11	旋：～转
轉	tsyn35	转：～学，～移，翻～
傳	tsʰyn11	传：～达，流～
專	tsyn55	专：～门，大～
