#漢字	音標	解釋
擠	tsi13	挤：拥～，～时间
濟	tsi13	济：～公，经～
妻	tsʰi33	妻：夫～
砌	kit021	砌：～墙
齊	tsʰi55	齐：～国[文]
齊	tsʰi55	齐：整～，放～，来～[白]
臍	tsai55	脐：肚～，～带
劑	tsi13	剂：一～药，药～
西	sai33	西：东西南北
棲	tsʰi33	栖：两～动物
犀	sai33	犀：～牛
洗	soi51	洗：～菜，～衣机
細	soi13	细：粗细，大小
婿	sai13	婿：女～
雞	koi33	鸡：～公（公鸡）
稽	ki55	稽：～查，滑～
計	koi13	计：～算，会～
繼	ki13	继：～续，～承
繫	hi25	系：～皮带
髻	kuɛ13	髻：发髻；鸡～（鸡冠）
溪	kʰoi33	溪：～水
啟	kʰi51	启：～发
契	kʰoi13	契：房～，～约
倪	ŋi13	倪：姓，～萍
奚	kʰoi13	奚：～落
兮	hi33	兮：神经～～
系	hi25	系：中文～，～统
繫	hi25	系：联～
係	hi25	系：关～[文]
係	hi25	系：是[白]
杯	puɛ33	杯：茶～
輩	puɛ13	辈：～分，长～
背	puɛ13	背：违～，后～
胚	pʰuɛ33	胚：～胎
坯	pʰuɛ33	坯：泥～，毛～房
配	pʰuɛ13	配：分～，搭～
培	puɛ25	培：～训
陪	puɛ25	陪：～同
賠	puɛ55	赔：～钱
裴	pʰuɛ55	裴：姓
倍	puɛ25	倍：～数
佩	puɛ25	佩：～服
背	puɛ13	背：～书
焙	puɛ22	焙：～火
梅	buɛ55	梅：～花
枚	buɛ55	枚：两～
媒	buɛ55	媒：～人
煤	buɛ55	煤：烧～，～矿
玫	bun55	玫：～瑰
每	muɛ̃51	每：～只，～日
莓	buɛ33	莓：草～
妹	muɛ̃22	妹：妹妹，姊～，老～
昧	muɛ̃25	昧：愚～，拾金不～
堆	tu33	堆：一～[量]，～放[动]
對	tui13	对：～错；成双成～
碓	tui13	碓：舂米工具，踏～
推	tsʰui33	推：～荐，～动
腿	tʰui51	腿：～部，火～
退	tʰɔ13	退：后～，～步[文]
退	tʰɔ13	退：向后退[白]
隊	tui22	队：～伍，排～
內	lai25	内：～行，～外
雷	lui55	雷：打～，～公；姓
累	lui25	累：劳～
催	tsʰui33	催：～促，～眠
崔	tsʰui33	崔：姓，～莺莺
摧	tsʰui33	摧：～残
罪	tsuɛ25	罪：得～，犯～[文]
罪	tsuɛ25	罪：～过（可怜、难受）[白]
碎	tsʰui13	碎：～布，破～
盔	huɛ33	盔：头～，～甲
魁	kʰuɛ33	魁：～梧，花～
恢	huɛ33	恢：～复
塊	kɔ13	块：一～钱，～头
桅	ui55	桅：～杆
灰	huɛ33	灰：石～，～色
賄	iu25	贿：受～，～赂
悔	huɛ13	悔：后～
晦	huɛ13	晦：～气
回	huɛ55	回：～想[文]
回	huɛ55	回：～礼[白]
茴	huɛ55	茴：～香
匯	huɛ25	汇：～报，～款
潰	kʰui25	溃：～疡，胃～疡
煨	pu55	煨：～番薯
蛻	tuɛ25	蜕：～变，～皮，～壳
兌	tuɛ25	兑：～水，～换
最	tsuɛ13	最：～好
會	kʰuai13	会：～计
劊	kuai13	刽：～子手
檜	kuai13	桧：人名，秦～
外	ɡua22	外：～面
會	huɛ25	会：开～
會	oi25	会：～睡，～来
繪	kuai13	绘：～图，测～
乖	kuai33	乖：小孩听话
怪	kuai13	怪：奇～
懷	huai55	怀：～疑
槐	huai55	槐：～树
淮	huai55	淮：～河，～北
壞	huai25	坏：～人
拐	kuai51	拐：～卖，铁～李
拐	kuai51	拐：～脚（瘸腿）
掛	kʰua13	挂：～起来，牵～，～钩
卦	kʰuɛ13	卦：八～
歪	uai33	歪：～风邪气
畫	uɛ22	画：～图，图～
快	kʰuai13	快：～车
筷	tɯ22	筷：公～
話	uɛ22	话：笑～，讲～[文，名]
話	uɛ22	话：讲～[白，名]
話	uɛ22	话：说[白，动]
脆	tsʰui51	脆：干～[文]
脆	tsʰui51	脆：易断[白]
歲	suɛ13	岁：万～，～月[文]
歲	huɛ13	岁：十～，～数[白]
綴	tuɛ13	缀：点～
贅	tsui25	赘：累～，入～
稅	suɛ13	税：交～，～收
衛	uɛ25	卫：～生
銳	ʒuɛ25	锐：尖～，～角
廢	hui13	废：～品，作～
肺	hui13	肺：猪～
吠	pui22	吠：狗～
穢	uɛ13	秽：淫～，污～
圭	kui33	圭：人名用字；乌拉～
閨	kui33	闺：～房
桂	kui13	桂：～花
奎	kui33	奎：人名用字；～宁（药名）
攜	hi25	携：～带，提～
惠	hui25	惠：～州，优～
慧	hui25	慧：智～
碑	pi33	碑：石～，～文
卑	pui33	卑：自～，～鄙
彼	pi51	彼：～此
臂	pi13	臂：手～，～力
披	pʰi33	披：～肩，～露
譬	pi51	譬：～喻，～如
皮	pʰuɛ55	皮：调～，～肤
疲	pʰi55	疲：～劳
脾	pi55	脾：～胃
被	pʰuɛ25	被：被子，毛巾～
婢	pi25	婢：奴～，～女
被	pi55	被：～动，～迫
避	pi22	避：逃～
糜	mi51	糜：～烂；粥
彌	ni51	弥：～补，阿～陀佛
離	li33	离：～別，～开
籬	li33	篱：～笆
璃	li33	璃：玻～
