#漢字	音標	解釋
館	kun35	馆 图书馆
冠	kun44	冠 冠军
棺	kun33	棺 棺材
觀	kun33	观 参观
官	kun33	官 当官
算	ɬin44	算 计算
蒜	ɬin44	蒜 蒜头
酸	ɬin33	酸 酸味
撮	nip033	撮 一撮胡子
竄	tʃʰin44	窜 东窜西窜
纂	tʃin31	纂 编纂
鑽	tʃin33	钻 钻洞（动）
捋	niɐp055	捋 捋袖
鑽	tʃin33	钻 电钻（名）
亂	lin31	乱 混乱
鸞	lin11	鸾 鸾凤
卵	lin13	卵 鸡卵（鸡蛋）
暖	nin13	暖 暖和
奪	tit021	夺 夺权
緞	tin31	缎 绸缎
椴	tin31	椴 椴木
自	tʃi31	自 自私；自动（文）
虹	hoŋ11	虹 彩虹（文）
紅	hoŋ11	红 红色
哄	hoŋ33	哄 哄骗
烘	hɔŋ33	烘 烘干
空	hoŋ33	空 亏空
哭	hok055	哭 痛哭
控	hoŋ44	控 控制
空	hoŋ33	空 空虚
孔	kʰoŋ35	孔 孔子
谷	kok055	谷 山谷
貢	koŋ44	贡 贡献
穀	kok055	谷 稻谷
攻	koŋ33	攻 攻击
工	koŋ33	工 工人
功	koŋ33	功 功课
公	koŋ33	公 公文
蚣	koŋ33	蚣 蜈蚣
速	tʃʰok055	速 速度
送	ɬoŋ44	送 送客
叢	ɬoŋ33	丛 树丛
族	tʃok021	族 民族
囪	tʃʰɔŋ33	囱 烟囱
葱	tʃʰoŋ33	葱 香葱
聰	tʃʰoŋ33	聪 聪明
匆	tʃʰoŋ33	匆 匆忙
糉	tʃoŋ44	粽 粽子
鬃	tʃoŋ33	鬃 马鬃
總	tʃoŋ35	总 总计
棕	tʃoŋ33	棕 棕色
鹿	lok021	鹿 鹿茸
祿	lok021	禄 福禄寿
弄	loŋ31	弄 弄错
攏	loŋ35	拢 靠拢
聾	loŋ11	聋 耳聋
嚨	loŋ11	咙 喉咙
籠	loŋ11	笼 牢笼
獨	tok021	独 独立
讀	tok021	读 读书
洞	toŋ31	洞 山洞
動	toŋ31	动 动作
瞳	tʰoŋ11	瞳 瞳孔
童	tʰoŋ11	童 儿童
筒	tʰoŋ11	筒 电筒
桐	tʰoŋ11	桐 梧桐
銅	tʰoŋ11	铜 铜器
同	tʰoŋ11	同 同学
禿	tʰok055	秃 秃顶
痛	tʰoŋ44	痛 痛苦
桶	tʰoŋ35	桶 木桶
捅	tʰoŋ35	捅 捅破了
通	tʰoŋ33	通 通过
棟	toŋ35	栋 栋梁
懂	toŋ35	懂 懂了；懵懂
凍	toŋ44	冻 冻死
董	toŋ35	董 姓
東	toŋ33	东 东方
木	mok021	木 木头
蒙	moŋ11	蒙 蒙古
懵	moŋ35	懵 懵懂
曝	pou31	曝 曝光
瀑	pou31	瀑 瀑布
僕	pʰɔk021	仆 仆人，奴仆
蓬	foŋ11	蓬 蓬勃；蓬蒿；蓬莱
篷	pʰoŋ11	篷 帐篷
仆	pʰɔk021	仆 仆倒
撲	pʰɔk033	扑 扑灭
卜	pok055	卜 占卜
螢	ieŋ11	萤 萤火虫
滎	ieŋ11	荥 荥阳
役	vek021	役 战役
疫	vek021	疫 疫苗
營	ieŋ11	营 营养
穎	veŋ31	颖 新颖
瓊	kʰeŋ11	琼 琼楼
頃	kʰeŋ35	顷 顷刻
詠	veŋ13	咏 歌咏
傾	kʰeŋ33	倾 倾向
泳	veŋ13	泳 游泳
永	veŋ13	永 永远
榮	ioŋ11	荣 光荣
兄	heŋ33	兄 兄弟
劃	vaʔ021	划 计划
獲	vaʔ021	获 获得
宏	hoŋ11	宏 宏大
轟	kwɐŋ44	轰 轰炸
橫	vaŋ11	横 蛮横
橫	vaŋ11	横 横直
礦	kʰɔŋ44	矿 煤矿
刑	ieŋ11	刑 刑法
型	ieŋ11	型 型号
形	ieŋ11	形 形状
馨	heŋ33	馨 温馨
喫	hiaʔ033	吃 吃亏
激	kek055	激 激动
擊	kek055	击 击败
經	keŋ33	经 经纬
徑	keŋ44	径 半径
經	keŋ33	经 经济
析	ʃek055	析 分析
錫	ɬiaʔ033	锡 锡纸；无锡（白）
腥	ɬiaŋ33	腥 腥臭
醒	ɬiaŋ35	醒 醒来（白）
寂	tʃek021	寂 寂寞
星	ɬeŋ33	星 星星
蜻	tʃʰeŋ33	蜻 蜻蜓
戚	tʃʰek055	戚 亲戚
績	tʃek055	绩 成绩
靑	tʃʰiaŋ33	青 青色（白）
礫	lek055	砾 瓦砾
歷	lek021	历 经历，历史
曆	lek021	历 日历，历书
另	leŋ31	另 另外
拎	neŋ33	拎 提
翎	leŋ33	翎 翎毛
伶	leŋ11	伶 伶俐；伶仃
鈴	leŋ11	铃 风铃
零	leŋ11	零 零碎；零分（文）
靈	leŋ11	灵 灵活
寧	neŋ11	宁 宁可
溺	nek021	溺 溺死
寧	neŋ11	宁 安宁
鯽	tʃɐʔ055	鲫 鲫鱼
即	tʃek055	即 立即
力	lek021	力 力量
凌	leŋ11	凌 冰凌；凌厉
菱	leŋ11	菱 菱角
陵	leŋ11	陵 陵园
逼	pek055	逼 被逼
憑	pʰɐŋ11	凭 文凭
冰	peŋ33	冰 结冰
恆	haŋ31	恒 永恒
黑	haʔ033	黑 黑白
刻	haʔ033	刻 时刻
克	haʔ033	克 克服
