#漢字	音標	解釋
輸	ʂu33	输：运输
殊	ʂu22	殊：特殊
豎	ʂu52	竖：横竖（笔画）
樹	ʂu52	树：一棵树，树立
儒	ʐu13	儒：
乳	niɛn52	乳：乳房，麦乳精，哺乳
拘	ki44	拘：拘留
駒	ki44	驹：小马
跔	pu45	跔：蹲
倶	kʰi52	俱：俱备，俱乐部
矩	ki31	矩：规矩
句	ki52	句：一句话，句子
區	kʰi44	区：地区，区别
驅	kʰi44	驱：先驱，驱动
軀	kʰi44	躯：身躯
嶇	kʰi44	岖：崎岖
瞿	kʰi45	瞿：姓
衢	kʰi44	衢：衢州
具	kʰi52	具：具体，家具
懼	kʰi52	惧：恐惧，惧怕
愚	ni22	愚：愚蠢，愚公移山
虞	ʐʅ22	虞：上虞，姓
娛	ŋɔ22	娱：娱乐
遇	ni52	遇：遇见，遭遇
寓	ni52	寓：公寓，寓言
吁	ʂʅ45	吁：气喘吁吁，长吁短叹
迂	ʐʅ45	迂：迂回
于	ʐʅ44	于：于是，姓
盂	ʐʅ22	盂：痰盂，碗怎么说
雨	ʐʅ31	雨：下雨
宇	ʐʅ31	宇：宇宙
禹	ʐʅ31	禹：大禹
羽	ʐʅ31	羽：羽毛
楡	ʐʅ52	榆：榆树
逾	ʐʅ52	逾：逾期
愉	ʐʅ52	愉：愉快
兪	ʐʅ52	俞：姓
愈	ʐʅ52	愈：愈好，病愈
喩	ʐʅ52	喻：比喻
裕	ʐʅ52	裕：富裕
獃	ŋuɔi35	呆：书呆子
戴	tai52	戴：姓，戴帽
胎	tʰuɔi33	胎：投胎，双胞胎，胎盘
台	tʰuɔi22	台：天台，台州
態	tʰai52	态：态度，心态
貸	tʰuɔi52	贷：借贷，贷款
臺	tʰuɔi22	台：平台，台湾
台	tʰuɔi22	台：平台
苔	tʰuɔi22	苔：青苔，舌苔
抬	tʰuɔi22	抬：两个人抬
待	tʰuɔi52	待：等待，待人
怠	tʰuɔi52	怠：怠慢，怠工
殆	tʰuɔi52	殆：百战不殆
代	tʰuɔi52	代：代表
袋	tʰuɔi52	袋：口袋，麻袋
埭	tʰuɔi52	埭：埭岸（堵水的土坝）
逮	tʰuɔi52	逮：逮捕
乃	nai45	乃：人名用字
耐	nai52	耐：耐心，忍耐
來	luɔi13	来：过来，来去
災	tsai44	灾：水灾，灾难
宰	tsai31	宰：宰相
載	tsuɔi52	载：年载
再	tsai52	再：再来
載	tsuɔi52	载：载重
猜	tsʰai44	猜：猜谜
彩	tsʰai31	彩：彩色，五彩
採	tsʰai31	采：采集
踩	tsʰai31	踩：踩油门
