#漢字	音標	解釋
陷	hɒm31	陷：～害，～井
衫	sɒm21	衫：衬～，～裤（衣服）
鑑	kɒm34	鉴：～定
甲	kɒp5	甲：天干，甲乙丙丁
巖	ᵑɡɒm22	岩：～石，石灰～
鴨	ɒp34	鸭：鸭子
壓	ɒt34	压：～力
鐮	lim22	镰：镰刀，禾～
獵	lip31	猎：打～，～人
尖	tsim34	尖：～刀
接	tsip34	接：迎～，～待
籤	ʈʰim21	签：竹～
潛	ʈʰim22	潜：～力
漸	tsim31	渐：逐～
捷	tsip34	捷：～报，大～，敏～
沾	tsim34	沾：～光
佔	tsim34	占：～领，～地方
摺	tsip3	折：～被，～叠
閃	sim45	闪：～开
攝	ⁿdip45	摄：～影
涉	sip34	涉：～及
染	ᵑɡim21	染：污～
檢	kim45	检：～查，体～
鉗	kʰim22	钳：～工，火～
儉	kim31	俭：勤～
險	him45	险：危～，保～
掩	jim45	掩：～护
厭	jim34	厌：讨～
鹽	jim22	盐
葉	jip21	叶：树～；姓
劍	kim34	剑：宝～
劫	kip5	劫：抢～
欠	him34	欠：～钱，拖～
嚴	ᵑɡim22	严：～格；姓
業	ᵑɡip31	业：事～，～余
醃	jip34	腌：腌制
點	tim45	点：～心，～头
店	tim34	店：开～
跌	tit34	跌：～打
添	him34	添：～加，～丁
貼	hip34	贴：～纸，～对联[动]
甜	him22	甜
碟	tip31	碟：盛具，碟子
念	ⁿdim31	念：～经，怀～
兼	kim34	兼：～职
謙	him34	谦：～虚
嫌	jim22	嫌：～弃，～人
協	hip31	协：～会，～作
法	fɒt34	法：方～
凡	fɒn22	凡：平～
犯	fɒn31	犯：～法[文]
品	pɐn45	品：～德
林	lɐm22	林：姓
立	lɐp31	立：～足
粒	ⁿdɐp5	粒：三～，颗～
浸	tsɐm34	浸：～水
集	tsɒp31	集：～合，～体
心	sɐm34	心：～肝，内～
尋	ʈʰɐm22	寻：～人
沉	ʈʰɐm22	沉：～底
參	sɐm34	参：人～
針	tsɐm34	针：～线，～对
枕	tsɐm45	枕：～头[名]；～枕头[动]
汁	tsɐp5	汁：菜～，果～
深	sɐm34	深：～浅，～入
沈	sɐm45	沈：姓；地名，～阳
濕	siɔk34	湿：潮～，训读
十	sɐp31	十：数字
任	ᵑɡɐm31	任：姓；责～，～何
入	jɐp31	入：～门，进～
金	kɐm34	金：～银
錦	kɐm45	锦：～绣，～旗
禁	kʰɐm34	禁：～止
急	kɐp5	急：心～
級	kʰɐp5	级：～别，年～
欽	hɐm34	钦：～差，～佩
琴	kʰɐm22	琴：弹～
及	kɒp31	及：～时
吸	kʰɐp45	吸：呼～，～引
陰	jɐm34	阴：～天
飮	jɐm45	饮：～料
單	tɒn34	单：～独
旦	tɒn34	旦：元～，花～
攤	hɒn34	摊：分～，～开，摆～
炭	hɒn34	炭：烧～
彈	hɒn22	弹：～琴
達	tɒt31	达：发～，～到
難	ⁿdɒn22	难：困～
捺	ⁿdɒt21	捺：撇～
蘭	lɒn22	兰：～花
懶	lɒn21	懒：懒惰，～尸
爛	lɒn31	烂：灿～，腐～
辣	lɒt31	辣：～椒
贊	tsɒn34	赞：称～，～助
餐	ʈʰɒn34	餐：～车，快～
殘	ʈʰɒn22	残：～废
散	sɒn45	散：药～
散	sɒn45	散：分～，解～
亁	kun21	干：烘～，饼～
趕	kun45	赶：追～
幹	kun34	干：～部，才～
割	kut34	割：～禾（割稻）
看	hun34	看：看见
渴	hut34	渴：口渴；～望
岸	ᵑɡun31	岸：口～，两～
寒	hun22	寒：大～，～流
汗	hun31	汗：出～，～马功劳
安	un34	安：公～，～全
案	un34	案：～件，档～
扮	pɒn31	扮：打～
八	pɒt34	八：数字
辦	pɒn31	办：～事
拔	pɒt31	拔：～河，选～
盞	tsɒn45	盏：灯～（灯）
紮	tsɒt34	扎：驻～
鏟	ʈʰɒn45	铲：～草
察	ʈʰɒt5	察：观～
山	sɒn34	山
產	ʈʰɒn45	产：生～
殺	sɒt34	杀：～人，自～
間	kɒn34	间：房～，中～
揀	kɒn45	拣：挑选
眼	ᵑɡɒn45	眼：双～皮
閑	hɒn22	闲：～事，空～
限	hɒn31	限：期～，～制
班	pɒn34	班：上～
板	pɒn45	板：黑～，石～
蠻	ᵐbɒn22	蛮：不听话；野～
慢	ᵐbɒn31	慢：～车
顏	ᵑɡɒn22	颜：姓；～色
雁	ᵑɡɒn31	雁：大～
瞎	hɒt31	瞎：～目
變	pin34	变：～化，改～
鼈	pit31	鳖：甲鱼
篇	pʰin34	篇：一～文章
便	pʰin22	便：～宜
辨	pin31	辨：分～，～别
便	pin31	便：方～
別	pit31	别：离～，分～
棉	ᵐbin22	棉：～花
免	ᵐbin21	免：难～，～除
面	ᵐbin31	面：～子
滅	ᵐbit31	灭：消～，～亡
聯	lin22	联：～系；对～
烈	lit31	烈：～士，热～
煎	tsin34	煎：～药，～鱼
剪	tsin45	剪：～刀
箭	tsin34	箭：射～
淺	ʈʰin45	浅：深～
錢	ʈʰin22	钱：～财
賤	tsin31	贱：下～，～人
仙	sin34	仙：神～
癬	sin45	癣：发～（生癣）
線	sin34	线：～索
展	tsin45	展：开～，发～
撤	ʈʰit5	撤：～退
纏	ʈʰin22	缠：纠～，～线
戰	tsin34	战：～斗
折	tsit5	折：～断，打～
舌	sit21	舌：舌头
設	sit5	设：～计，建～
善	sin31	善：～良，心～
然	ᵑɡin22	然：～后，居～
熱	ᵑɡit31	热：冷～，～情
乾	kʰin22	乾：～坤，～隆
件	kin31	件：事～
傑	kit31	杰：～出
延	jin22	延：～长，～安
演	jin45	演：～员，表～
建	kin31	建：～设
揭	kʰit5	揭：～发，～露
言	ᵑɡin22	言：语～
獻	hin34	献：贡～
邊	pin34	边：～疆，旁～
扁	pin45	扁：圆扁
片	pʰin34	片：一～，～面
撇	pʰit34	撇：～捺，～开
顚	tin34	颠：～倒
典	tin45	典：～型，词～
天	hin34	天：～才
鐵	hit34	铁：～皮
田	hin22	田：种～
電	tin31	电：触～，～灯
墊	tin31	垫：～钱，座～
年	ⁿdin22	年：过～
捏	ᵐbək34	捏：以指尖捏取小面积
練	lin31	练：～习，熟～
薦	tsin34	荐：推～
節	tsit45	节：～约
千	ʈʰin34	千：～万
切	ʈʰit34	切：～菜
截	tsit34	截：～断
先	sin34	先：祖～，～进，～生
見	kin34	见：～人，～识
潔	kit5	洁：～白，清～
牽	hin34	牵：～牛花
硏	ᵑɡin22	研：～究
顯	hin45	显：明～
賢	jin22	贤：～惠，圣～
現	jin31	现：～在，出～
煙	jin34	烟：冒～
燕	jin34	燕：燕子，～窝
搬	pun34	搬：～运
半	pun21	半：一～，～日
鉢	put21	钵：花～（花盆），衣～
潘	pʰun34	潘：姓
判	pʰun34	判：～断，审～
潑	pʰut5	泼：～水（攻击）
盤	pʰun22	盘：算～
叛	pun31	叛：～徒，背～
滿	ᵐbun45	满：～意
末	ᵐbut31	末：～尾
短	tun45	短：长～
脫	hut34	脱：～鞋，摆～
團	hun22	团：～结，～长
斷	hun21	断：线断了[白]
段	tun31	段：姓；阶～
奪	tut31	夺：～取
暖	ⁿdun21	暖：冷～
卵	lin45	卵：～生
亂	lun31	乱：混～
捋	lut45	捋：捋袖子
鑽	tsun34	钻：电～[名]，～石
撮	tsɐt45	撮：一～毛
酸	sun34	酸：～甜
蒜	sun34	蒜：大蒜，蒜头
官	kun34	官：～司，当～
管	kun45	管：～理，气～
灌	kun34	灌：～溉
括	kut5	括：包～
寬	fun34	宽：～松
款	fun45	款：汇～，拨～
闊	fut34	阔：开～
玩	ᵑɡun31	玩：～具，游～
歡	fun34	欢：喜～，～喜
丸	jin21	丸：肉～，药～
換	vun31	换：交～[文]
活	vut31	活：生～
碗	vun45	碗：饭～
頑	ᵑɡɒn22	顽：～固，～皮
滑	vɒt31	滑：地～，～稽
挖	vɒt34	挖：～掘[文]
關	kuɒn34	关：～门，海～
刮	kuɒt34	刮：～毛，搜～
還	vɒn22	还：～钱[白]
環	vɒn22	环：～境
彎	vɒn34	弯：转～
戀	lin45	恋：～爱
劣	lut5	劣：～质，恶～
全	ʈʰin22	全：～部，安～
絕	tsit31	绝：～对
宣	sin34	宣：～布，～传
選	sin45	选：～择，挑～
雪	sit34	雪：落～（下雪），～白
旋	sin22	旋：～转
轉	tsin45	转：～学，～移，翻～
傳	ʈʰin22	传：～达，流～
專	tsin34	专：～门，大～
穿	ʈʰin34	穿：～堂风，揭～
串	ʈʰin34	串：～通
船	sin22	船：轮～
說	sit45	说：小～
軟	ᵑɡin21	软：～弱
捲	kin45	卷：～起来[动]
圈	hin45	圈：圆～，～套
拳	kʰin22	拳：～头
圓	jin22	圆：团～
院	jin31	院：医～，～长
閱	jit31	阅：～读
反	fɒn45	反：～对，造～
發	fɒt34	发：～财[文]
翻	fɒn34	翻：～书[文]
翻	fɒn34	翻：翻转；呕吐[白]
煩	fɒn22	烦：麻～
飯	fɒn31	饭：食～，～店
罰	fɒt31	罚：～款，惩～
晚	ᵐbɒn21	晚：～会
萬	ᵐbɒn31	万：～一
襪	ᵐbɒt31	袜：鞋～
勸	hin34	劝：规～
原	ᵑɡin22	原：～来，平～
願	ᵑɡin31	愿：～望
怨	jin34	怨：～人，埋～
遠	jin45	远：永～
