#漢字	音標	解釋
吠	pui322	吠：狗～
穢	uɐi322	秽：淫～，污～
圭	kuɐi55	圭：人名用字；乌拉～
閨	kuɐi55	闺：～房
桂	kuɐi322	桂：～花
攜	kʰuɐi21	携：～带，提～
惠	uɐi21	惠：～州，优～
慧	uɐi21	慧：智～
碑	pei55	碑：石～，～文
卑	pei55	卑：自～，～鄙
彼	pʰei35	彼：～此
臂	pei322	臂：手～，～力
披	pʰei55	披：～肩，～露
譬	pʰei322	譬：～喻，～如
皮	pʰei21	皮：调～，～肤
疲	pʰei21	疲：～劳
脾	pʰei21	脾：～胃，～气
被	pʰei13	被：被子，毛巾～
婢	pʰei13	婢：奴～，～女
被	pei21	被：～动，～迫
避	pei21	避：逃～
彌	nei21	弥：～补，阿～陀佛
離	lei21	离：～別，～开
璃	lei55	璃：玻～
荔	lai21	荔：～枝
紫	tsi35	紫：～色
雌	tsʰi55	雌：～雄
此	tsʰi35	此：到～为止
刺	tsʰi322	刺：～激，穿～
疵	tsʰi55	疵：瑕～，吹毛求～
斯	si55	斯：～大林
撕	si55	撕：～烂
賜	tsʰi322	赐：赏～
知	tsi55	知：通～，～道，无～[文]
知	tsi55	知：～识[文]
知	tsi55	知：知道，唔～[白]
蜘	tsi55	蜘：～蛛
智	tsi322	智：～慧
池	tsʰi21	池：水～
馳	tsʰi21	驰：奔～
差	tsʰa55	差：参～不齐
篩	sɐi55	筛：谷～，米～
支	tsi55	支：两～笔[白，量]
支	tsi55	支：～持，天干地～[文]
枝	tsi55	枝：树～
