#漢字	音標	解釋
麗	li31	丽：秀～
隸	li31	隶：奴～，～属
擠	tsɿ22	挤：拥～，～时间
濟	ʦɿ45	济：～公，经～
妻	tsʰɿ22	妻：夫～
砌	tsʰei45	砌：～墙
齊	tsʰei41	齐：～国[文]
齊	tsʰei41	齐：整～，放～，来～[白]
臍	tsʰɿ41	脐：肚～，～带
劑	tsɿ45	剂：一～药，药～
西	sɿ22	西：东西南北
犀	sei22	犀：～牛
洗	sei31	洗：～菜，～衣机
細	sei45	细：粗细，大小
婿	sei45	婿：女～
雞	kei22	鸡：～公（公鸡）
計	kei45	计：～算，会～
繼	tsɿ45	继：～续，～承
繫	kei22	系：～皮带
髻	tsɿ45	髻：发髻；鸡～（鸡冠）
溪	kʰei22	溪：～水
啟	tsʰɿ31	启：～发
契	kʰei41	契：房～，～约
倪	ji41	倪：姓，～萍
奚	kʰei22	奚：～落
系	hei45	系：中文～，～统
繫	hei45	系：联～
係	hei45	系：关～[文]
係	hei45	系：是[白]
滷	lu22	卤：盐～，～水
路	lu31	路：大～
賂	lɔk4	赂：贿～
露	lu45	露：～水，白～，打～
鷺	lu45	鹭：白～
租	tʃu22	租：～金，出～
祖	tʃu31	祖：～宗，～国
組	tʃu31	组：～织，小～
做	tsɔu45	做：～好事
粗	tʃʰu22	粗：～心
醋	tʃʰu45	醋：陈～
措	tsʰɔu45	措：～施
錯	tsʰɔu45	错：～误
蘇	ʃu22	苏：～州；姓
酥	ʃu22	酥：脆，杏仁～
素	ʃu45	素：～菜，朴～
訴	ʃu45	诉：上～，倾～
塑	sɔk2	塑：雕～，～料
姑	ku22	姑：大～
孤	ku22	孤：～儿，～单
箍	ku22	箍：紧～咒[文]
箍	kʰeu22	箍：围束，～桶[白]
古	ku31	古：～代
估	ku31	估：～计
牯	ku31	牯：牛～
股	ku31	股：～票
鼓	ku31	鼓：锣～，～励
釜	fu31	釜：破～沉舟
腐	fu31	腐：～败
腐	fu31	腐：豆～
輔	fu31	辅：～导，～助
附	fu31	附：～近，～带
無	vu41	无：没有，～中生有[文]
無	mɔu41	无：没有，～事[白]
巫	mu41	巫：姓；～婆
誣	mu41	诬：～陷，～告
武	vu31	武：～器，～术
舞	vu31	舞：跳～
舞	vu31	舞：拨弄，摆弄[白，动]
侮	vu22	侮：～辱
鵡	vu22	鹉：鹦～
務	vu31	务：任～，～农
霧	vu45	雾：大～
縷	lɛu31	缕：千丝万～
屢	lui22	屡：～次，～教不改
趨	ʧʰɿ22	趋：～势
取	ʧʰii31	取：～钱
娶	tʃʰɿ22	娶：嫁～
趣	tʃʰɿ45	趣：兴～
聚	ʧʰɿ22	聚：～会
聚	ʨʰiu22	聚：捡～（收拢）[白]
須	ʃɿ22	须：必～
鬚	ʃɿ22	须：胡～
需	ʃɿ22	需：～要
續	ʃiuk4	续：连～，继～
誅	tʃu22	诛：天～地灭
蛛	tʃu22	蛛：蜘～
株	tʃu22	株：守～待兔
駐	tʃu45	驻：～扎
註	tʃu45	注：～释
廚	tʃʰu41	厨：～房
櫥	tʃʰu41	橱：碗～
柱	tʃʰu22	柱：柱子
住	tʃʰu31	住：～宿
數	ʃu45	数：～落，～星星[动]
數	ʃu45	数：～字，～学
朱	tʃu22	朱：姓
珠	tʃu22	珠：珍～
主	tʃu31	主：～人，地～
注	tʃu45	注：～意
蛀	tʃu45	蛀：～虫
鑄	tʃu45	铸：～铁，～钢
樞	ʃu22	枢：中～，～纽
輸	ʃu22	输：～赢
輸	ʃu22	输：运～
殊	ʃu41	殊：特～
豎	ʃu31	竖：横～
樹	ʃu31	树：～立，种～
儒	ji41	儒：～家思想
乳	iui31	乳：哺～，母～[文]
乳	nen41	乳：食～（吃奶），麦～精[训]
拘	tsɿ22	拘：～留
倶	tsʰɿ31	俱：～备，～乐部
矩	tsɿ31	矩：规～，～形
句	ʦɿ45	句：～号
區	tsʰɿ22	区：地～，～别
驅	tsʰɿ22	驱：先～，～动
具	tsʰɿ31	具：～体
懼	tsʰɿ31	惧：恐～
愚	ȵi41	愚：～蠢，～公移山
虞	jy41	虞：姓，～姬
娛	ŋu41	娱：～乐
遇	ȵin31	遇：遭～，相～，～到
寓	jy41	寓：～言；公～
迂	jy41	迂：～回，～腐
于	jy41	于：姓；等～
吁	jy41	吁：气喘～～，长～短叹
雨	jy31	雨：落～，谷～，～水
宇	jy41	宇：～宙
禹	ji31	禹：大～治水
羽	ji31	羽：～毛球
芋	ji45	芋：芋头
逾	ji31	逾：超过，～期
愉	ji31	愉：～快
愈	ji31	愈：病～
喩	ji31	喻：比～
裕	ji31	裕：富～
獃	tai22	呆：书～子，发～[文]
獃	tai22	呆：发～[白]
戴	tai45	戴：姓；～帽
胎	tʰɔi22	胎：双胞～，～盘
台	tʰɔi41	台：天台
態	tʰai45	态：～度，心～
貸	tʰɔi31	贷：～款
臺	tʰɔi41	台：～湾
苔	tʰɔi41	苔：青～，舌～
抬	tɔi41	抬：两个人抬
待	tʰɔi31	待：等～，～人接物
怠	tʰɔi31	怠：～慢，～工
殆	tʰɔi31	殆：百战不～
代	tʰɔi31	代：～替，～表
逮	tʰɔi31	逮：～捕
袋	tʰɔi31	袋：袋子
乃	nai31	乃：安～近；人名用字
耐	nai31	耐：～力，～心，忍～
來	lɔi41	来：过～，～去
災	tsai22	灾：水～
栽	tsai22	栽：种，～培
宰	tsai31	宰：～相
載	tsɔi45	载：一年半～
再	tsai45	再：～来
載	tsai45	载：～重
猜	tsʰai22	猜：～谜
彩	tsʰai31	彩：～色
採	tsʰai31	采：～集
睬	tsʰai31	睬：理睬
菜	tsʰɔi45	菜：煮～，青～
才	tsʰɔi41	才：人～，～气，秀～
材	tsʰɔi41	材，药～，～料
財	tsʰɔi41	财，发～
裁	tsʰɔi41	裁，～纸，剪～
纔	tsʰɔi41	才：刚～
在	tsʰai31	在：实～，现～[文]
在	tsʰɔi22	在：存在，还～[白]
載	tsɔi45	载：满～而归
腮	sɔi22	腮：～腺炎，～红
鰓	sɔi22	鳃：鱼鳃
賽	sɔi45	赛：比～
該	kɔi22	该：应～
改	kɔi31	改：修～，～正
概	kʰai31	概：大～，～括
溉	kʰai31	溉：灌～
開	kʰɔi22	开：公～，～门
凱	kʰai31	凯：～旋
慨	kʰai31	慨：慷～，感～
咳	kʰen31	咳：～嗽，止～糖浆
呆	tai22	呆：～板
杯	pui22	杯：茶～
輩	pui45	辈：～分，长～
背	pɔi45	背：违～，后～
坯	pʰei22	坯：泥～，毛～房
配	pʰui45	配：分～，搭～
培	pʰui41	培：～训
陪	pʰui41	陪：～同
賠	pʰɔi41	赔：～钱
裴	fui22	裴：姓
倍	pʰui31	倍：～数
佩	pʰui45	佩：～服
背	pʰɔi31	背：～书
梅	mɔi41	梅：～花
枚	mui41	枚：两～
媒	mɔi41	媒：～人
煤	mɔi41	煤：烧～，～矿
玫	mɔi41	玫：～瑰
每	mui22	每：～只，～日
莓	mɔi41	莓：草～
妹	mɔi45	妹：妹妹，姊～，老～
昧	mui31	昧：愚～，拾金不～
堆	tui22	堆：一～[量]，～放[动]
對	tui45	对：～错；成双成～
筷	kʰai45	筷：公～
話	va31	话：笑～，讲～[文，名]
話	va31	话：讲～[白，名]
脆	tʃʰiui45	脆：干～[文]
脆	tʃʰiui45	脆：易断[白]
歲	ʃiui45	岁：万～，～月[文]
歲	sei45	岁：十～，～数[白]
綴	tʃiui45	缀：点～
贅	tʃiui45	赘：累～，入～
稅	sɔi45	税：交～，～收
衛	vui31	卫：～生
銳	iui45	锐：尖～，～角
廢	fui45	废：～品，作～
肺	fui45	肺：猪～
吠	pʰɔi31	吠：狗～
穢	ʃiui45	秽：淫～，污～
圭	kui22	圭：人名用字；乌拉～
閨	kui45	闺：～房
桂	kui45	桂：～花
奎	kʰui41	奎：人名用字；～宁（药名）
攜	kʰui41	携：～带，提～
惠	fui31	惠：～州，优～
慧	fui31	慧：智～
碑	pi22	碑：石～，～文
卑	pi22	卑：自～，～鄙
彼	pʰi22	彼：～此
臂	pi31	臂：手～，～力
披	pʰi22	披：～肩，～露
譬	pi31	譬：～喻，～如
皮	pʰi41	皮：调～，～肤
疲	pʰi41	疲：～劳
脾	pʰi41	脾：～胃，～气
被	pʰi22	被：被子，毛巾～
婢	pi22	婢：奴～，～女
被	pʰi22	被：～动，～迫
避	pʰit2	避：逃～
糜	mi41	糜：～烂；粥
彌	ȵi41	弥：～补，阿～陀佛
離	li41	离：～別，～开
籬	li41	篱：～笆
璃	li41	璃：玻～
荔	li31	荔：～枝
紫	tsɿ31	紫：～色
雌	tsʰɿ41	雌：～雄
此	tsʰɿ31	此：到～为止
刺	tsʰɿ45	刺：～激，穿～
疵	tsɿ22	疵：瑕～，吹毛求～
斯	sɿ22	斯：～大林
撕	sɿ22	撕：～烂
賜	tsʰɿ45	赐：赏～
知	tsɿ22	知：通～，～道，无～[文]
知	tsɿ45	知：～识[文]
知	ti22	知：知道，唔～[白]
蜘	tsɿ22	蜘：～蛛
智	tsɿ45	智：～慧
池	tsʰɿ41	池：水～
馳	sɿ22	驰：奔～
篩	ʦʰei22	筛：谷～，米～
支	tsɿ22	支：两～笔[白，量]
支	tsɿ22	支：～持，天干地～[文]
枝	tsɿ22	枝：树～
肢	tsɿ22	肢：四～，～体
梔	tsɿ22	栀：黄～（水横枝、黄果）
紙	tsɿ31	纸：白～
只	tsit2	只：～有
侈	ji41	侈：奢～
舐	sei22	舐：舔
施	sɿ22	施：措～；姓
翅	tsʰɿ45	翅：鱼～
匙	sɿ41	匙：锁～，汤～
是	sɿ31	是：～否，～非
氏	sɿ31	氏：姓～
豉	sɿ31	豉：豆～
兒	lu41	儿：～童
爾	ȵi22	尔：～虞我诈；保～（人名）
寄	tsɿ45	寄：～信，～托
企	tsʰɿ22	企：～业，～鹅
奇	ʦʰɿ41	奇：～怪
騎	tsʰɿ41	骑：～马
騎	tsʰɿ41	骑：～楼
岐	ʦɿ22	岐：～山
徛	tsʰɿ22	徛：站立；（山）斜度高
技	tsʰɿ22	技：～术[文]
技	tsʰɿ22	技：杂～[白]
妓	tsɿ22	妓：～女
宜	ȵi41	宜：适～，～昌
儀	ȵi41	仪：礼～，～式
蟻	ŋei41	蚁：蚂蚁，白～
誼	ȵi41	谊：友～
義	ȵi31	义：情～，～气
議	ȵi45	议：～论，会～
犧	sɿ22	牺：～牲
戲	tsʰɿ45	戏：做～
倚	tsʰɿ41	倚：～靠，～老卖老
