#漢字	音標	解釋
周	ʦiu55	周：姓；～围，～年
醜	tsʰiu51	丑：不好看，出～
臭	tsʰau33	臭：～味
收	siu55	收：丰～，～集
手	tsʰiu51	手：～脚，～段
獸	tsʰiu21	兽：野～
仇	siu24	仇：～人，报～
壽	siu33	寿：长～
九	kau51	九：数字，～龙
救	kiu33	救：～命
求	kʰiu24	求：要～
舅	ku55	舅：～公
舊	ku55	旧：新～
牛	hu55	牛：～牯
休	hiu55	休：～息，退～
有	u55	有：～钱
右	ᵉiu33	右：左～
油	ᵉiu24	油：麻～
丟	tiu55	丢：～失
答	tap021	答：回～
貪	tʰam55	贪：～心
探	tʰam33	探：试～
南	nam24	南：东南西北
納	nap055	纳：归～
參	tsʰam55	参：～军，～加
慘	tsʰam51	惨：悲～
蠶	tsʰam24	蚕：～丝
雜	tsap055	杂：复～
鴿	kak021	鸽：白～
砍	ʦam55	砍：～伤
含	ham24	含：包～[文]
含	kam55	含：～糖[白]
合	hap055	合：～作，～适[文]
合	hap055	合：～本，～伙[白]
庵	am55	庵：尼姑～
揞	am55	揞：手覆，揞住
暗	am33	暗：不亮
擔	tam33	担：～任[动]
擔	tã55	担：～竿[名]
膽	tã51	胆：大～
塔	tʰa51	塔：宝～
痰	tʰam24	痰：吐～
淡	tʰam33	淡：～水（地名）
淡	ʦiã51	淡：咸～；浓～
籃	nã24	篮：菜～
欖	lam51	榄：橄～，乌～
臘	la55	腊：～肉，～肠
暫	ʦiam33	暂：～时
甘	kam55	甘：甜；～心
敢	kã51	敢：勇～
斬	tsam33	斩：白～鸡
蘸	ʔun33	蘸：～豉油
插	ʦʰa51	插：～花
杉	sam55	杉：～树
