#漢字	音標	解釋
捏	mit5	捏：以指尖捏取小面积
練	lin33	练：～习，熟～
薦	tsin33	荐：推～
節	tsit3	节：～约，竹～
千	tsʰin55	千：～万
切	tsʰit3	切：～菜
截	tsit21	截：～断
先	sin55	先：祖～，～进，～生
見	kin33	见：～人，～识
潔	kit3	洁：～白，清～
牽	hin55	牵：～牛花
硏	ŋin21	研：～究
顯	hin35	显：明～
賢	hin21	贤：～惠，圣～
現	hin33	现：～在，出～
煙	in55	烟：冒～
燕	in33	燕：燕子，～窝
搬	pun55	搬：～运
半	pun33	半：一～，～日
鉢	put3	钵：花～（花盆），衣～
潘	pʰun55	潘：姓
判	pʰun33	判：～断，审～
潑	pʰut3	泼：～水；泼辣
盤	pʰun21	盘：算～
叛	pʰun33	叛：～徒，背～
滿	mun35	满：～意
末	mut3	末：～尾
短	tin35	短：长～
脫	tʰit3	脱：～鞋，摆～
團	tʰin21	团：～结，～长
斷	tʰin35	断：线断了[白]
段	tin33	段：姓；阶～
奪	tit21	夺：～取
暖	nin35	暖：冷～
卵	lɐn35	卵：鸡～（鸡蛋），～生
亂	lin33	乱：混～
捋	lit3	捋：捋袖子
鑽	tsin33	钻：电～[名]，～石
撮	tsʰit3	撮：一～毛
酸	sin55	酸：～甜
蒜	sin33	蒜：大蒜，蒜头
官	kun55	官：～司，当～
管	kun35	管：～理，气～
灌	kun33	灌：～溉
括	kʰut3	括：包～
寬	hun55	宽：～松
款	kʰun35	款：汇～，拨～
闊	kʰut3	阔：开～
玩	un33	玩：～具，游～
歡	hun55	欢：喜～，～喜
丸	in21	丸：肉～，药～
換	un33	换：交～[文]
活	ut3	活：生～
碗	un35	碗：饭～
頑	ŋan21	顽：～固，～皮
滑	uat21	滑：地～，～稽
挖	uat21	挖：～掘[文]
關	kan55	关：～门，海～
刮	kat3	刮：～毛，搜～
還	uan21	还：～钱[白]
環	uan21	环：～境
彎	uan55	弯：转～
戀	lin35	恋：～爱
劣	lit3	劣：～质，恶～
全	tsʰin21	全：～部，安～
絕	tsit3	绝：～对
宣	sin55	宣：～布，～传
選	sin35	选：～择，挑～
雪	sit3	雪：落～（下雪），～白
旋	sin21	旋：～转
轉	tsin35	转：～学，～移，翻～
傳	tsʰin21	传：～达，流～
專	tsin55	专：～门，大～
穿	tsʰin55	穿：～堂风，揭～
串	tsʰin33	串：一～，～通
船	sin21	船：轮～
說	sit3	说：小～
軟	ŋin35	软：～弱
捲	kin35	卷：～起来[动]
圈	hin55	圈：圆～，～套
拳	kʰin21	拳：～头
圓	in21	圆：团～
院	in35	院：医～，～长
閱	it3	阅：～读
反	fan35	反：～对，造～
發	fat3	发：～展，～财[文]
發	fat3	发：～虫（长虫）[白]
翻	fan55	翻：～书[文]
翻	fan35	翻：翻转；呕吐[白]
煩	fan21	烦：麻～
飯	fan33	饭：食～，～店
罰	fɐt3	罚：～款，惩～
晚	man35	晚：～会
萬	man33	万：～一
襪	mat3	袜：鞋～
勸	hin33	劝：规～
原	ŋin21	原：～来，平～
願	ŋin33	愿：～望
怨	in33	怨：～人，埋～
遠	in35	远：永～
粵	it3	粤：～东
決	kʰit3	决：～定
犬	hin35	犬：狂～病
血	hit3	血：流～
縣	in33	县：～长
穴	it3	穴：～位
因	jɐn55	因：原～
印	jɐn33	印：手～
乙	it3	乙：天干，甲乙丙丁
引	jɐn35	引：吸～
斤	kɐn55	斤：～两
謹	kɐn35	谨：～慎，严～
勤	kʰɐn21	勤：～劳
近	kɐn33	近：最～，～来[文]
近	kʰɐn35	近：远近[白]
欣	jɐn33	欣：～赏
隱	jɐn35	隐：～形，～身
本	pun35	本：～来，书～
不	pɐt5	不：～过
盆	pʰun21	盆：面～（脸盆），～地
笨	pɐn33	笨：～蛋[文]
門	mun21	门：关～
墩	tɐn35	墩：桥～
頓	tɐn33	顿：停～，～脚
盾	tʰɐn35	盾：矛～
突	tɐt21	突：～然
嫩	nin33	嫩：不老
論	lɐn33	论：议～，～文
尊	ʦin55	尊：～重
村	ʦʰin55	村：～长
存	ʦʰin21	存：～在，～折，储～
孫	sin55	孙：姓；子～
損	sin35	损：～坏
滾	kɐn35	滚：～动；水开
