#漢字	音標	解釋
祕	pi51	～书，～密
泌	pi51	分～；滤出汤汁
庇	pʰi35	包～，～护
痹	pi33	麻～
丕	pi33	人名用字，曹～
屁	pʰi51	放～
琵	pʰi21	～琶
枇	pʰi21	～杷
備	pʰi51	准～，～用
鼻	pʰi51	鼻子；鼻涕
篦	pi35	篦子（很密的梳子）
眉	mi21	眉毛，画～
楣	mi21	门～
黴	mɔi21	发～，倒～
美	mi35	～丽，～化
媚	mi21	～眼，妩～；人名用字
寐	mi51	梦～以求，假～
地	tʰi51	土～
尼	ni21	～姑
膩	ne51	油～，细～
梨	li21	梨
履	li31	～行，～历
利	li51	～润，有～
痢	li51	～疾
痢	li21	癞～（头屑）
資	tsɿ33	～本
姿	tsɿ33	～势
咨	tsɿ33	～询
姊	tsi31	～妹
次	tsʰɿ51	名～，～品
瓷	tsʰɿ21	～砖，陶～
餈	tsʰi21	糍粑，糯米～
自	tsʰɿ51	～私
私	sɿ35	自～
死	si31	～人
四	si51	数字
肆	si51	放～
致	tsɿ51	导～
遲	tsʰɿ21	～到，推～
稚	tsʰɿ33	幼～
師	sɿ35	老～，～父
獅	sɿ33	狮子
脂	tsɿ33	～肪，胭～
旨	tsɿ31	圣～
指	tsɿ31	手～，～甲
至	tsɿ51	～少
示	sɿ51	表～
屍	sɿ35	～体，死～
矢	tsʰɿ33	有的放～
屎	sɿ31	狗～
視	sɿ51	近～
嗜	sɿ51	～好
二	ȵi51	数字
貳	ȵi51	～心
飢	ki35	～饿
肌	ki33	～肉
几	ki33	茶～
冀	ki51	河北简称，晋察～
器	ʃi51	武～，机～，～重
棄	ʃi51	放～，抛～
祁	kʰi31	～连山
伊	ji21	姓
懿	ji51	人名用字，司马～
夷	ji21	化险为～，蛮～
姨	ji21	大～，～丈
肄	ji51	～业
你	ni35	～们，第二人称[文]
你	ni33	第二人称[白]
釐	li21	～米
狸	li21	狐～
李	li31	姓；水果
里	li35	公～
裏	li21	～外，～背（里面）
理	li35	道～，～由
鯉	li35	～鱼
吏	li51	官～
滋	tsɿ35	～味
子	tsɿ31	～孙；孔～
梓	tsɿ31	桑～；曾宪～
慈	tsʰɿ21	～悲，～禧太后
磁	tsʰɿ21	～铁，～场
字	sɿ51	～典，文～
司	sɿ35	公～，～令
絲	sɿ35	～绸
思	sɿ35	～想
伺	sɿ51	～候，～机而动
思	sɿ35	意～
辭	tsʰɿ21	～职，告～
詞	tsʰɿ21	歌～
祠	tsʰɿ21	～堂
似	sɿ51	相～，～乎[文]
似	sɿ51	好～（好像）[白]
祀	sɿ51	祭～
巳	sɿ51	地支，～时
寺	tsʰɿ51	～庙，灵光～
嗣	tsʰɿ21	后～；谭～同
飼	sɿ33	～料，～养[文]
飼	tsʰɿ51	喂饭[白]
